buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,excluUseAr,floor,jibun,monthlyRent,offiNm,preDeposit,preMonthlyRent,sggCd,sggNm,umdNm,useRRRight
2017,, ,14,1,2020,"1,000",19.31,4,37-32,71,영타운 지웰 에스테이트,,,11410,서대문구,대현동, 
2015,, ,27,1,2020,"1,000",18.27,5,90-58,65,(90-58),,,11410,서대문구,대현동, 
2018,, ,14,1,2020,"15,500",19.21,5,37-24,0,이대프리젠#4,,,11410,서대문구,대현동, 
2014,, ,18,1,2020,"23,000",26.82,5,104-5,0,신촌푸르지오시티,,,11410,서대문구,대현동, 
2005,, ,31,1,2020,"5,000",32.6,12,27-20,70,신촌가이아,,,11410,서대문구,대현동, 
2019,, ,28,1,2020,"3,000",14.22,4,56-83,55,한빛슈테리움2차,,,11410,서대문구,대현동, 
2019,, ,20,1,2020,"4,500",14.09,7,56-83,55,한빛슈테리움2차,,,11410,서대문구,대현동, 
2019,, ,29,1,2020,"1,000",16.13,8,90-15,75,아리움Ⅰ,,,11410,서대문구,대현동, 
2006,, ,17,1,2020,"1,000",28.5,8,20-51,70,신영스카이텔,,,11410,서대문구,창천동, 
2019,, ,22,1,2020,"2,000",13.57,4,56-83,60,한빛슈테리움2차,,,11410,서대문구,대현동, 
2003,, ,16,1,2020,"1,000",18.9,4,188-57,55,(188-57),,,11410,서대문구,연희동, 
2019,, ,17,1,2020,"3,500",14.09,5,56-83,58,한빛슈테리움2차,,,11410,서대문구,대현동, 
2019,, ,31,1,2020,"13,000",13.78,8,90-15,25,아리움Ⅰ,,,11410,서대문구,대현동, 
2019,, ,23,1,2020,"1,000",13.78,3,90-15,70,아리움Ⅰ,,,11410,서대문구,대현동, 
2018,, ,14,1,2020,"3,000",18.03,6,37-48,60,에스엠피렌체,,,11410,서대문구,대현동, 
2014,, ,16,1,2020,"20,000",23.38,8,104-5,0,신촌푸르지오시티,,,11410,서대문구,대현동, 
2019,, ,23,1,2020,"3,000",12.87,5,56-83,58,한빛슈테리움2차,,,11410,서대문구,대현동, 
2018,, ,17,1,2020,"17,000",18.54,5,37-48,0,에스엠피렌체,,,11410,서대문구,대현동, 
2014,20.01~21.01,신규,31,1,2020,"1,000",23.7,19,104-5,80,신촌푸르지오시티,,,11410,서대문구,대현동, 
2019,, ,20,1,2020,"3,000",14.22,5,56-83,58,한빛슈테리움2차,,,11410,서대문구,대현동, 
2014,, ,21,1,2020,"10,000",26.76,5,104-5,50,신촌푸르지오시티,,,11410,서대문구,대현동, 
2019,, ,16,1,2020,"3,000",12.87,4,56-83,55,한빛슈테리움2차,,,11410,서대문구,대현동, 
2019,, ,23,1,2020,"3,000",14.22,6,56-83,60,한빛슈테리움2차,,,11410,서대문구,대현동, 
2019,, ,28,1,2020,"1,000",17.84,13,90-60,80,이대 포레스트,,,11410,서대문구,대현동, 
2019,, ,17,1,2020,"1,000",16.13,6,90-15,75,아리움Ⅰ,,,11410,서대문구,대현동, 
2019,, ,22,1,2020,"3,000",13.78,9,90-15,65,아리움Ⅰ,,,11410,서대문구,대현동, 
2014,, ,16,1,2020,"24,000",29.62,3,104-36,0,신촌자이엘라,,,11410,서대문구,대현동, 
2018,, ,15,1,2020,"15,000",19.9,6,37-24,0,이대프리젠#4,,,11410,서대문구,대현동, 
2018,, ,20,1,2020,"1,000",27.42,7,1013,88,이편한세상신촌,,,11410,서대문구,북아현동, 
2018,, ,11,1,2020,"15,500",19.21,3,37-24,0,이대프리젠#4,,,11410,서대문구,대현동, 
2014,, ,7,1,2020,"19,000",23.7,18,104-5,0,신촌푸르지오시티,,,11410,서대문구,대현동, 
2004,20.02~22.02,신규,11,1,2020,"1,000",21.09,5,343-1,40,선정오피스텔,,,11410,서대문구,북가좌동, 
2019,, ,19,1,2020,"3,000",18.81,7,90-15,75,아리움Ⅰ,,,11410,서대문구,대현동, 
2019,, ,29,1,2020,"3,000",14.22,6,56-83,60,한빛슈테리움2차,,,11410,서대문구,대현동, 
2019,, ,29,1,2020,"2,000",14.22,4,56-83,60,한빛슈테리움2차,,,11410,서대문구,대현동, 
2018,, ,10,1,2020,"2,000",18.92,4,218-11,80,THE연희힐,,,11410,서대문구,연희동, 
2004,, ,11,1,2020,"9,500",17.16,5,78-4,0,시아 루비움,,,11410,서대문구,연희동, 
2005,, ,29,1,2020,"1,000",31.41,12,29-81,80,신촌 르메이에르타운5,,,11410,서대문구,창천동, 
2019,, ,15,1,2020,"3,000",12.87,3,56-83,55,한빛슈테리움2차,,,11410,서대문구,대현동, 
2019,, ,4,1,2020,"1,000",13.78,8,90-15,70,아리움Ⅰ,,,11410,서대문구,대현동, 
2014,, ,29,1,2020,"21,000",26.76,17,104-5,0,신촌푸르지오시티,,,11410,서대문구,대현동, 
2014,, ,11,1,2020,"7,000",29.45,3,104-36,60,신촌자이엘라,,,11410,서대문구,대현동, 
2017,, ,16,1,2020,"1,000",15.06,8,90-44,68,이대프리젠#2,,,11410,서대문구,대현동, 
2019,, ,21,1,2020,"20,000",33.79,6,142-21,0,연희미다스파크,,,11410,서대문구,연희동, 
2017,, ,9,1,2020,"1,000",20.27,7,37-32,71,영타운 지웰 에스테이트,,,11410,서대문구,대현동, 
2005,, ,14,1,2020,"2,000",16.83,5,218-1,50,연희체스트빌,,,11410,서대문구,연희동, 
2007,, ,17,1,2020,"5,000",97.65,10,194-30,150,브라운스톤 연희,,,11410,서대문구,연희동, 
2019,, ,13,1,2020,"26,000",32.18,9,400-3,0,디에이원파크,,,11410,서대문구,홍은동, 
2019,, ,12,1,2020,"10,000",18.89,10,110-22,65,신촌 스타게이트,,,11410,서대문구,대현동, 
2004,, ,11,1,2020,"1,500",19.31,3,97-64,60,경선파인 오피스텔,,,11410,서대문구,창천동, 
2019,, ,2,1,2020,"1,000",16.13,5,90-15,82,아리움Ⅰ,,,11410,서대문구,대현동, 
2018,, ,29,1,2020,"1,000",20.19,9,56-10,80,더가온 오피스텔,,,11410,서대문구,대현동, 
2018,, ,30,1,2020,"15,000",14.46,5,37-15,0,이대프리젠#3,,,11410,서대문구,대현동, 
2018,, ,10,1,2020,"1,000",19.46,7,56-63,70,이대오늘아침 오피스텔,,,11410,서대문구,대현동, 
2002,, ,31,1,2020,"9,000",20.39,2,121-4,0,오벨리스크,,,11410,서대문구,연희동, 
2019,, ,31,1,2020,"20,300",17.37,3,90-15,0,아리움Ⅰ,,,11410,서대문구,대현동, 
,, ,14,1,2020,"1,000",18.66,6,90-45,70,이화스테이,,,11410,서대문구,대현동, 
2017,, ,6,1,2020,"15,000",20.27,3,37-32,0,영타운 지웰 에스테이트,,,11410,서대문구,대현동, 
2005,, ,14,1,2020,"22,000",34.22,6,116,0,SK리쳄블,,,11410,서대문구,합동, 
2004,, ,22,1,2020,"1,000",19.61,6,45-5,58,이화인비따레오피스텔,,,11410,서대문구,대현동, 
2015,, ,31,1,2020,"8,500",14.04,4,90-41,0,(90-41),,,11410,서대문구,대현동, 
2019,, ,29,1,2020,"20,500",17.37,6,90-15,0,아리움Ⅰ,,,11410,서대문구,대현동, 
2019,, ,16,1,2020,"14,000",13.37,3,90-22,0,슈테리움 오피스텔,,,11410,서대문구,대현동, 
2014,, ,9,1,2020,"1,000",23.38,20,104-5,78,신촌푸르지오시티,,,11410,서대문구,대현동, 
2009,, ,28,1,2020,"21,000",28.82,5,192,0,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
2019,, ,15,1,2020,"10,000",18.89,7,110-22,60,신촌 스타게이트,,,11410,서대문구,대현동, 
2018,, ,18,1,2020,"1,000",18.15,4,90-35,52,이대다올노블리움2차,,,11410,서대문구,대현동, 
2019,, ,18,1,2020,"1,000",18.89,6,110-22,90,신촌 스타게이트,,,11410,서대문구,대현동, 
2019,, ,21,1,2020,"25,500",32.09,4,400-3,0,디에이원파크,,,11410,서대문구,홍은동, 
2019,, ,10,1,2020,"15,000",13.29,4,90-22,0,슈테리움 오피스텔,,,11410,서대문구,대현동, 
2019,, ,20,1,2020,"1,000",13.78,4,90-15,67,아리움Ⅰ,,,11410,서대문구,대현동, 
2005,, ,21,1,2020,"10,000",19.01,5,103-7,0,스페이스엠,,,11410,서대문구,연희동, 
2017,, ,3,1,2020,"1,000",19.31,3,37-32,68,영타운 지웰 에스테이트,,,11410,서대문구,대현동, 
2009,, ,4,1,2020,"5,000",25.35,11,192,50,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
2015,, ,12,1,2020,"6,500",14.04,3,90-41,15,(90-41),,,11410,서대문구,대현동, 
2019,, ,10,1,2020,"3,000",13.78,7,90-15,60,아리움Ⅰ,,,11410,서대문구,대현동, 
2019,20.01~21.01,신규,17,1,2020,"1,000",13.29,4,90-22,65,슈테리움 오피스텔,,,11410,서대문구,대현동, 
2019,, ,12,1,2020,"20,700",16.89,6,90-15,0,아리움Ⅰ,,,11410,서대문구,대현동, 
2019,, ,16,1,2020,"13,000",13.78,10,90-15,25,아리움Ⅰ,,,11410,서대문구,대현동, 
2006,, ,7,1,2020,"9,800",22.61,9,190,20,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2019,, ,7,1,2020,"26,000",32.7,8,400-3,0,디에이원파크,,,11410,서대문구,홍은동, 
2004,, ,13,1,2020,"14,000",19.81,4,103-6,0,라이온스톤,,,11410,서대문구,연희동, 
2018,, ,10,1,2020,"19,000",17.66,16,90-77,0,유씨유 이대,,,11410,서대문구,대현동, 
2019,, ,5,1,2020,"19,500",16.13,5,90-15,0,아리움Ⅰ,,,11410,서대문구,대현동, 
2006,, ,10,1,2020,"20,000",61.22,14,117,55,충정로대우디오빌,,,11410,서대문구,합동, 
2015,, ,9,1,2020,"3,000",20.3,7,56-119,60,SONG'S 8,,,11410,서대문구,대현동, 
2009,, ,10,1,2020,"18,500",25.35,17,192,0,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
2009,, ,2,1,2020,"1,000",25.35,13,192,70,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
2006,, ,11,2,2020,"10,000",22.61,4,190,23,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2002,, ,7,2,2020,"9,500",19.44,3,122-3,5,정연 지오빌,,,11410,서대문구,연희동, 
2009,, ,28,2,2020,"3,000",25.35,11,192,60,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
2007,, ,20,2,2020,"1,000",28.79,5,194-30,80,브라운스톤 연희,,,11410,서대문구,연희동, 
2019,, ,23,2,2020,"3,500",13.57,8,56-83,63,한빛슈테리움2차,,,11410,서대문구,대현동, 
2018,, ,11,2,2020,"15,500",19.21,6,37-24,0,이대프리젠#4,,,11410,서대문구,대현동, 
2005,, ,29,2,2020,"16,000",26.34,15,29-81,0,신촌 르메이에르타운5,,,11410,서대문구,창천동, 
2006,, ,11,2,2020,"19,000",30.86,3,117,0,충정로대우디오빌,,,11410,서대문구,합동, 
2009,, ,11,2,2020,"19,000",25.35,13,192,0,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
2012,, ,18,2,2020,"1,000",20.79,6,427,50,신영오피스텔,,,11410,서대문구,홍은동, 
2006,, ,4,2,2020,"2,000",25.69,4,90-1,68,(90-1),,,11410,서대문구,대신동, 
2019,, ,6,2,2020,"1,000",13.39,5,90-22,70,슈테리움 오피스텔,,,11410,서대문구,대현동, 
2018,, ,17,2,2020,"18,000",17.66,13,90-77,0,유씨유 이대,,,11410,서대문구,대현동, 
2019,, ,8,2,2020,"3,500",14.22,9,56-83,63,한빛슈테리움2차,,,11410,서대문구,대현동, 
2020,, ,3,2,2020,"23,000",25.6,6,90-50,0,애스턴빌,,,11410,서대문구,대현동, 
2007,, ,18,2,2020,"20,000",31.96,5,194-30,0,브라운스톤 연희,,,11410,서대문구,연희동, 
2019,, ,1,2,2020,"1,000",14.21,5,90-36,60,이화블로섬하우스,,,11410,서대문구,대현동, 
2017,, ,16,2,2020,"1,000",16.03,7,37-30,68,이대프리젠#1,,,11410,서대문구,대현동, 
2005,, ,10,2,2020,"10,000",19.01,3,103-7,0,스페이스엠,,,11410,서대문구,연희동, 
2018,, ,1,2,2020,"15,500",19.21,5,37-24,0,이대프리젠#4,,,11410,서대문구,대현동, 
2006,, ,16,2,2020,"9,800",19.4,9,190,21,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2001,, ,15,2,2020,"10,000",16.2,5,212-2,0,연희소프트빌,,,11410,서대문구,연희동, 
2018,, ,13,2,2020,"15,500",19.21,3,37-24,0,이대프리젠#4,,,11410,서대문구,대현동, 
2019,, ,12,2,2020,"25,500",32.09,6,400-3,0,디에이원파크,,,11410,서대문구,홍은동, 
2005,, ,10,2,2020,"10,000",19.01,3,103-7,0,스페이스엠,,,11410,서대문구,연희동, 
2002,, ,12,2,2020,"12,000",19.44,5,122-3,0,정연 지오빌,,,11410,서대문구,연희동, 
2005,, ,7,2,2020,"10,000",19.01,5,103-7,0,스페이스엠,,,11410,서대문구,연희동, 
2019,, ,12,2,2020,"25,500",32.09,6,400-3,0,디에이원파크,,,11410,서대문구,홍은동, 
2019,, ,6,2,2020,"26,500",32.09,11,400-3,0,디에이원파크,,,11410,서대문구,홍은동, 
2019,, ,3,2,2020,"26,000",32.09,8,400-3,0,디에이원파크,,,11410,서대문구,홍은동, 
2019,, ,3,2,2020,"26,000",32.09,7,400-3,0,디에이원파크,,,11410,서대문구,홍은동, 
2019,, ,4,2,2020,"26,000",32.09,7,400-3,0,디에이원파크,,,11410,서대문구,홍은동, 
2018,, ,17,2,2020,"4,500",17.88,10,56-10,0,더가온 오피스텔,,,11410,서대문구,대현동, 
2005,20.02~22.02,갱신,14,2,2020,"1,000",34.22,9,116,80,SK리쳄블,"1,000",80,11410,서대문구,합동, 
2003,, ,27,2,2020,"1,000",15.94,4,80-7,45,파라다이스텔에스비,,,11410,서대문구,연희동, 
2019,, ,15,2,2020,"3,000",13.57,5,56-83,58,한빛슈테리움2차,,,11410,서대문구,대현동, 
2018,, ,7,2,2020,"1,000",20.93,4,37-48,70,에스엠피렌체,,,11410,서대문구,대현동, 
2014,, ,10,2,2020,"2,000",27.61,8,104-36,85,신촌자이엘라,,,11410,서대문구,대현동, 
2019,, ,25,2,2020,"17,000",13.56,9,90-22,0,슈테리움 오피스텔,,,11410,서대문구,대현동, 
2018,, ,1,2,2020,"10,000",17.31,7,90-77,45,유씨유 이대,,,11410,서대문구,대현동, 
2020,, ,16,2,2020,"20,500",22.63,4,56-28,0,파크제이드 이화,,,11410,서대문구,대현동, 
2005,, ,5,2,2020,"36,000",61.23,14,116,0,SK리쳄블,,,11410,서대문구,합동, 
2019,, ,7,2,2020,"3,500",14.09,9,56-83,63,한빛슈테리움2차,,,11410,서대문구,대현동, 
2006,, ,18,2,2020,"9,800",19.4,6,190,25,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2019,, ,26,2,2020,"16,500",13.38,9,90-22,0,슈테리움 오피스텔,,,11410,서대문구,대현동, 
2009,, ,15,2,2020,"19,000",25.35,6,192,0,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
2014,, ,19,2,2020,"7,000",29.45,9,104-36,60,신촌자이엘라,,,11410,서대문구,대현동, 
2019,, ,6,2,2020,"3,500",14.22,7,56-83,60,한빛슈테리움2차,,,11410,서대문구,대현동, 
2018,, ,7,2,2020,"2,000",20.93,6,37-48,70,에스엠피렌체,,,11410,서대문구,대현동, 
2014,, ,27,2,2020,"22,000",26.82,18,104-5,0,신촌푸르지오시티,,,11410,서대문구,대현동, 
2004,, ,4,2,2020,"1,000",19.26,1,97-64,60,경선파인 오피스텔,,,11410,서대문구,창천동, 
2017,, ,15,2,2020,"1,000",20.27,9,37-32,76,영타운 지웰 에스테이트,,,11410,서대문구,대현동, 
2005,, ,20,2,2020,"25,000",41.57,17,116,0,SK리쳄블,,,11410,서대문구,합동, 
2019,, ,12,2,2020,"3,500",12.87,9,56-83,63,한빛슈테리움2차,,,11410,서대문구,대현동, 
2002,, ,24,2,2020,"3,000",13.33,6,92-7,25,창천오피스텔,,,11410,서대문구,창천동, 
2014,, ,22,2,2020,"10,000",25.76,13,104-5,45,신촌푸르지오시티,,,11410,서대문구,대현동, 
2006,, ,1,2,2020,"19,000",30.86,13,117,0,충정로대우디오빌,,,11410,서대문구,합동, 
2017,, ,10,2,2020,"1,000",20.37,9,37-32,70,영타운 지웰 에스테이트,,,11410,서대문구,대현동, 
2014,, ,19,2,2020,"24,000",29.62,6,104-36,0,신촌자이엘라,,,11410,서대문구,대현동, 
2009,, ,8,2,2020,"1,000",25.35,18,192,70,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
2018,, ,29,2,2020,"1,000",27.42,6,1013,88,이편한세상신촌,,,11410,서대문구,북아현동, 
2019,, ,7,2,2020,"3,500",14.22,8,56-83,63,한빛슈테리움2차,,,11410,서대문구,대현동, 
2019,, ,1,2,2020,"1,000",13.78,4,90-15,70,아리움Ⅰ,,,11410,서대문구,대현동, 
2014,, ,19,2,2020,"10,000",28.43,13,104-5,55,신촌푸르지오시티,,,11410,서대문구,대현동, 
2018,, ,4,2,2020,"15,500",19.21,6,37-24,0,이대프리젠#4,,,11410,서대문구,대현동, 
2019,, ,12,2,2020,"3,500",14.22,9,56-83,63,한빛슈테리움2차,,,11410,서대문구,대현동, 
2018,, ,22,2,2020,"21,000",21.43,3,37-15,0,이대프리젠#3,,,11410,서대문구,대현동, 
