buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,excluUseAr,floor,jibun,monthlyRent,offiNm,preDeposit,preMonthlyRent,sggCd,sggNm,umdNm,useRRRight
2006,11.02~13.02,신규,8,1,2011,"2,000",25.69,4,90-1,65,(90-1),,,11410,서대문구,대신동, 
2003,11.02~12.02,신규,7,1,2011,"5,000",26.32,4,136-7,30,(136-7),,,11410,서대문구,연희동, 
2004,, ,15,1,2011,"1,000",19.95,5,188-3,55,(188-3),,,11410,서대문구,연희동, 
2007,, ,28,1,2011,"28,000",115.53,4,340-27,0,현대싱그런,,,11410,서대문구,연희동, 
2004,, ,10,1,2011,"8,000",19.38,2,97-64,0,경선파인 오피스텔,,,11410,서대문구,창천동, 
2005,, ,10,1,2011,"1,000",16.83,4,218-1,55,연희체스트빌,,,11410,서대문구,연희동, 
2003,, ,19,1,2011,"9,000",26.03,7,136-7,0,(136-7),,,11410,서대문구,연희동, 
2003,, ,7,1,2011,"5,000",26.03,7,136-7,30,(136-7),,,11410,서대문구,연희동, 
2005,11.02~13.02,신규,25,1,2011,"3,000",19.01,2,103-7,45,스페이스엠,,,11410,서대문구,연희동, 
2002,11.02~12.02,신규,28,1,2011,"2,500",12.95,5,62-48,30,(62-48),,,11410,서대문구,창천동, 
2004,, ,7,1,2011,"2,000",19.38,3,97-64,50,경선파인 오피스텔,,,11410,서대문구,창천동, 
2003,, ,25,1,2011,"9,000",26.03,7,136-7,0,(136-7),,,11410,서대문구,연희동, 
2006,, ,25,1,2011,"8,500",19.4,2,190,0,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2003,, ,13,1,2011,"9,000",25.04,7,136-7,0,(136-7),,,11410,서대문구,연희동, 
2002,, ,8,1,2011,"6,500",22.9,5,92-7,0,창천오피스텔,,,11410,서대문구,창천동, 
2005,, ,7,1,2011,"2,000",19.01,5,103-7,55,스페이스엠,,,11410,서대문구,연희동, 
2004,, ,29,1,2011,"1,000",22.11,9,490,55,홍익사랑,,,11410,서대문구,창천동, 
2004,, ,5,1,2011,"3,000",20.52,1,97-64,40,경선파인 오피스텔,,,11410,서대문구,창천동, 
2006,, ,24,1,2011,"8,000",22.61,2,190,17,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2002,, ,27,1,2011,500,20.67,6,100-15,48,브라운 힐,,,11410,서대문구,연희동, 
2003,, ,12,1,2011,"2,000",19.24,8,80-7,40,파라다이스텔에스비,,,11410,서대문구,연희동, 
2004,, ,6,1,2011,"2,000",19.38,6,97-64,55,경선파인 오피스텔,,,11410,서대문구,창천동, 
2004,, ,28,1,2011,"6,000",27.31,2,97-64,40,경선파인 오피스텔,,,11410,서대문구,창천동, 
2006,, ,20,1,2011,"9,500",22.61,3,190,0,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2006,, ,8,1,2011,"12,000",27.14,11,20-51,0,신영스카이텔,,,11410,서대문구,창천동, 
2003,, ,10,1,2011,"9,500",27.48,2,136-7,0,(136-7),,,11410,서대문구,연희동, 
2003,, ,17,1,2011,"7,000",19.94,6,188-57,0,(188-57),,,11410,서대문구,연희동, 
2003,, ,25,1,2011,"9,000",26.03,2,136-7,0,(136-7),,,11410,서대문구,연희동, 
2002,, ,19,1,2011,"3,000",18.5,3,62-48,30,(62-48),,,11410,서대문구,창천동, 
2003,, ,27,1,2011,"5,500",21.45,4,396-24,0,현상준건물,,,11410,서대문구,홍은동, 
2004,, ,15,1,2011,"8,000",19.26,2,97-64,0,경선파인 오피스텔,,,11410,서대문구,창천동, 
2006,, ,21,1,2011,"9,300",22.61,5,190,0,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2006,, ,6,1,2011,"6,000",19.4,4,190,0,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2002,, ,17,1,2011,"7,500",20.39,3,121-4,0,오벨리스크,,,11410,서대문구,연희동, 
2003,, ,17,1,2011,"5,000",22.95,4,396-24,0,현상준건물,,,11410,서대문구,홍은동, 
2006,, ,17,1,2011,"3,000",19.4,3,190,40,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2005,, ,5,1,2011,"1,000",16.83,8,218-1,0,연희체스트빌,,,11410,서대문구,연희동, 
2006,, ,5,1,2011,"8,500",19.4,2,190,0,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2002,11.02~12.02,신규,24,2,2011,"3,000",20.39,5,121-4,35,오벨리스크,,,11410,서대문구,연희동, 
2004,, ,21,2,2011,"3,000",19.38,2,97-64,40,경선파인 오피스텔,,,11410,서대문구,창천동, 
2006,, ,19,2,2011,"12,500",29.26,3,117,0,충정로대우디오빌,,,11410,서대문구,합동, 
2004,, ,24,2,2011,"3,000",19.25,3,78-4,30,시아 루비움,,,11410,서대문구,연희동, 
2004,, ,26,2,2011,"5,800",19.25,4,78-4,0,시아 루비움,,,11410,서대문구,연희동, 
2007,, ,15,2,2011,"21,500",115.53,5,340-27,0,현대싱그런,,,11410,서대문구,연희동, 
2006,, ,7,2,2011,"7,500",44.52,2,169-3,0,드리밍 아파트,,,11410,서대문구,연희동, 
2003,, ,11,2,2011,"8,000",26.03,4,136-7,10,(136-7),,,11410,서대문구,연희동, 
2006,, ,25,2,2011,"6,000",19.4,8,190,27,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2004,, ,21,2,2011,"3,000",24.84,9,343-1,30,선정오피스텔,,,11410,서대문구,북가좌동, 
2006,, ,19,2,2011,"8,000",22.61,8,190,18,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2001,, ,11,2,2011,"1,000",16.2,7,212-2,50,연희소프트빌,,,11410,서대문구,연희동, 
2004,, ,14,2,2011,"9,500",28.5,15,20-41,12,아남오피스텔,,,11410,서대문구,창천동, 
2006,, ,16,2,2011,"5,000",22.61,9,190,45,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
