buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,houseType,monthlyRent,preDeposit,preMonthlyRent,sggCd,totalFloorAr,umdNm,useRRRight
1991,, ,17,5,2023,"5,000",다가구,55,,,11410,48.3,남가좌동, 
1993,, ,24,6,2023,"1,000",다가구,45,,,11410,41.44,북가좌동, 
2002,, ,30,6,2023,"9,000",다가구,0,,,11410,23.1,연희동, 
1997,, ,24,6,2023,"10,000",다가구,15,,,11410,25,창천동, 
1997,, ,1,6,2023,"9,000",다가구,35,,,11410,20,창천동, 
,, ,12,6,2023,"13,000",다가구,0,,,11410,38.02,북아현동, 
,, ,17,6,2023,"6,000",다가구,23,,,11410,24,연희동, 
1997,, ,22,6,2023,"1,000",다가구,50,,,11410,38.88,연희동, 
2004,, ,30,6,2023,"1,000",다가구,50,,,11410,16,창천동, 
1992,, ,13,6,2023,"2,000",다가구,60,,,11410,52.77,북아현동, 
1996,, ,8,6,2023,"12,000",다가구,20,,,11410,37.81,연희동, 
1991,, ,11,7,2023,500,단독,55,,,11410,19,연희동, 
,, ,12,7,2023,"20,000",다가구,0,,,11410,45,연희동, 
,, ,6,7,2023,500,단독,50,,,11410,18.5,창천동, 
,, ,15,7,2023,"4,000",단독,45,,,11410,20,연희동, 
,, ,8,7,2023,"1,000",단독,50,,,11410,16.3,연희동, 
1991,, ,19,7,2023,"2,000",단독,120,,,11410,50,창천동, 
1992,, ,24,7,2023,"7,000",단독,0,,,11410,38.97,북아현동, 
1996,, ,18,7,2023,"1,000",다가구,60,,,11410,21,북가좌동, 
1989,, ,10,7,2023,"22,500",다가구,0,,,11410,82.23,북가좌동, 
2013,, ,24,7,2023,500,다가구,55,,,11410,18,연희동, 
1991,, ,13,8,2023,500,다가구,50,,,11410,20,창천동, 
,, ,28,8,2023,"1,000",다가구,70,,,11410,26.4,연희동, 
,, ,11,8,2023,"5,000",다가구,40,,,11410,20,창천동, 
,, ,26,8,2023,"7,000",다가구,10,,,11410,19.83,창천동, 
,, ,7,8,2023,"19,000",단독,0,,,11410,73.88,남가좌동, 
,, ,30,8,2023,"2,000",다가구,60,,,11410,20,창천동, 
,, ,31,8,2023,"1,000",단독,60,,,11410,19.83,충정로2가, 
,, ,26,8,2023,"7,000",다가구,0,,,11410,40,북가좌동, 
,, ,6,8,2023,"3,000",다가구,55,,,11410,26.4,연희동, 
,, ,26,8,2023,"3,000",단독,80,,,11410,42.64,연희동, 
,, ,12,9,2023,500,단독,40,,,11410,15,북가좌동, 
,, ,27,9,2023,"1,000",다가구,60,,,11410,16.5,연희동, 
,, ,16,9,2023,"1,000",다가구,39,,,11410,17.01,북가좌동, 
,, ,26,9,2023,"13,000",다가구,0,,,11410,52.29,북아현동, 
,, ,22,9,2023,"1,000",다가구,55,,,11410,32,옥천동, 
,, ,22,9,2023,"3,000",단독,60,,,11410,45,연희동, 
,, ,5,9,2023,"15,000",단독,0,,,11410,49.73,홍은동, 
,, ,16,9,2023,"1,000",다가구,50,,,11410,48.68,북가좌동, 
,, ,5,9,2023,"15,000",단독,0,,,11410,49.73,홍은동, 
,, ,26,9,2023,"1,000",다가구,20,,,11410,28.23,홍은동, 
1996,, ,4,10,2023,"4,000",다가구,200,,,11410,91.16,창천동, 
,, ,12,10,2023,"12,000",단독,10,,,11410,31.42,홍은동, 
,, ,19,10,2023,"12,000",다가구,18,,,11410,23.63,창천동, 
,, ,21,10,2023,"5,000",다가구,120,,,11410,42,창천동, 
,, ,19,10,2023,"15,000",다가구,0,,,11410,23.63,창천동, 
,, ,15,10,2023,"5,000",단독,100,,,11410,61.27,연희동, 
,, ,24,10,2023,"2,000",다가구,42,,,11410,29,충정로3가, 
,, ,26,10,2023,"22,000",단독,0,,,11410,206.94,홍은동, 
,, ,3,10,2023,"1,000",다가구,40,,,11410,14,봉원동, 
,, ,25,10,2023,"8,000",다가구,0,,,11410,33.228,북가좌동, 
2003,, ,18,11,2023,"10,000",다가구,45,,,11410,68.12,남가좌동, 
,, ,24,11,2023,"8,500",다가구,0,,,11410,19.83,충정로3가, 
,, ,4,11,2023,"8,000",다가구,30,,,11410,28,창천동, 
,, ,17,11,2023,"3,000",단독,40,,,11410,19.8,남가좌동, 
,, ,27,11,2023,"5,000",다가구,67,,,11410,52.05,창천동, 
,, ,27,11,2023,"7,500",다가구,0,,,11410,33,북아현동, 
,, ,24,11,2023,"8,500",다가구,0,,,11410,19.5,연희동, 
,, ,17,11,2023,"1,000",다가구,55,,,11410,20,연희동, 
,, ,21,11,2023,"12,000",다가구,0,,,11410,20,연희동, 
,, ,20,11,2023,"9,000",다가구,0,,,11410,24,홍은동, 
1996,, ,23,12,2023,"3,000",다가구,45,,,11410,21,연희동, 
2010,, ,1,12,2023,"1,000",단독,55,,,11410,15,연희동, 
,, ,27,12,2023,"11,000",단독,5,,,11410,23.14,북가좌동, 
,, ,27,12,2023,"1,000",단독,40,,,11410,30,창천동, 
,, ,12,12,2023,500,단독,50,,,11410,18.1,연희동, 
,, ,12,12,2023,"2,000",다가구,50,,,11410,33.865,천연동, 
,, ,20,12,2023,"1,000",단독,55,,,11410,22,냉천동, 
,, ,27,12,2023,"14,000",다가구,2,,,11410,25.5,창천동, 
,, ,9,12,2023,300,단독,50,,,11410,17,연희동, 
,, ,9,12,2023,"1,000",다가구,60,,,11410,43,북가좌동, 
1965,, ,7,1,2024,"7,000",단독,470,,,11410,192,창천동, 
1998,, ,4,1,2024,"3,500",다가구,0,,,11410,17.82,연희동, 
1990,, ,6,1,2024,"30,000",다가구,0,,,11410,81.81,남가좌동, 
,, ,30,1,2024,500,다가구,50,,,11410,18,신촌동, 
2020,, ,5,1,2024,"1,000",다가구,68,,,11410,19.52,창천동, 
,, ,15,1,2024,500,단독,47,,,11410,33,연희동, 
,, ,31,1,2024,"1,000",단독,50,,,11410,18,연희동, 
,, ,15,1,2024,"3,000",다가구,20,,,11410,40,북가좌동, 
,, ,29,1,2024,"7,000",다가구,15,,,11410,20,대신동, 
,, ,26,1,2024,"10,500",다가구,0,,,11410,29.728,대현동, 
2003,, ,1,2,2024,500,단독,30,,,11410,16.08,홍은동, 
1995,, ,16,2,2024,500,단독,55,,,11410,18.15,창천동, 
1994,, ,26,2,2024,"6,000",다가구,38,,,11410,44.64,북아현동, 
1993,, ,20,2,2024,"1,000",다가구,60,,,11410,12,대신동, 
,, ,2,2,2024,500,다가구,45,,,11410,18,연희동, 
,, ,5,2,2024,"7,000",단독,0,,,11410,15,창천동, 
,, ,2,2,2024,"10,000",다가구,0,,,11410,25,창천동, 
,24.02~25.02,신규,16,2,2024,500,다가구,43,,,11410,23.14,남가좌동, 
1975,24.02~25.02,신규,13,2,2024,"2,000",단독,55,,,11410,10,창천동, 
1990,24.03~25.03,신규,1,2,2024,500,다가구,50,,,11410,17.5,대현동, 
1980,, ,19,3,2024,"1,000",단독,50,,,11410,40,홍제동, 
,, ,10,3,2024,500,다가구,35,,,11410,27,연희동, 
1991,, ,29,3,2024,500,다가구,50,,,11410,15,창천동, 
1996,, ,1,3,2024,"1,000",다가구,60,,,11410,35.75,대신동, 
2020,, ,28,3,2024,"11,000",단독,0,,,11410,18,남가좌동, 
,, ,16,3,2024,500,단독,40,,,11410,15,홍제동, 
,, ,13,3,2024,"1,000",다가구,35,,,11410,23.1,북가좌동, 
,24.05~26.05,신규,30,3,2024,"1,000",다가구,75,,,11410,50.36,남가좌동, 
1996,24.04~25.04,신규,9,3,2024,300,다가구,45,,,11410,23.14,남가좌동, 
1977,24.03~26.03,신규,24,3,2024,"22,000",단독,0,,,11410,72.73,북가좌동, 
,, ,29,4,2024,500,단독,24,,,11410,26.97,남가좌동, 
1991,, ,27,4,2024,"1,000",다가구,50,,,11410,33,북아현동, 
2003,, ,18,4,2024,"13,000",다가구,35,,,11410,34.9,연희동, 
1993,, ,13,4,2024,"10,000",다가구,0,,,11410,49.58,홍은동, 
2022,, ,27,4,2024,"3,000",단독,39,,,11410,19.8,홍은동, 
1990,, ,4,4,2024,"10,000",다가구,20,,,11410,57.03,북아현동, 
1988,, ,15,4,2024,"17,500",단독,0,,,11410,57.9,북가좌동, 
1990,, ,5,4,2024,"1,000",단독,100,,,11410,41.505,연희동, 
1990,, ,23,4,2024,"11,500",다가구,0,,,11410,35.088,홍제동, 
,, ,27,4,2024,"1,000",다가구,58,,,11410,19,창천동, 
1987,, ,31,5,2024,"1,000",단독,60,,,11410,18,창천동, 
1990,, ,11,5,2024,500,다가구,35,,,11410,25,북아현동, 
1991,, ,4,5,2024,500,다가구,50,,,11410,15,창천동, 
1985,, ,3,5,2024,"2,000",단독,120,,,11410,102,홍제동, 
1973,, ,21,5,2024,"1,000",다가구,42,,,11410,19.8,홍제동, 
2013,, ,23,5,2024,500,다가구,40,,,11410,14,북가좌동, 
,, ,11,5,2024,"6,000",다가구,50,,,11410,51.216,남가좌동, 
,, ,20,5,2024,500,다가구,40,,,11410,17,신촌동, 
1997,, ,18,5,2024,"5,000",단독,16,,,11410,21,창천동, 
,, ,11,5,2024,"10,000",다가구,25,,,11410,19,창천동, 
2010,, ,20,6,2024,"1,000",다가구,45,,,11410,16,창천동, 
1976,, ,13,6,2024,"1,000",다가구,68,,,11410,66.116,북가좌동, 
2020,, ,7,6,2024,"4,064",다가구,20,,,11410,35.44,연희동, 
2001,, ,24,6,2024,500,다가구,45,,,11410,18,대신동, 
1996,, ,4,6,2024,"1,000",다가구,54,,,11410,29,충정로3가, 
2000,, ,20,6,2024,"1,000",다가구,50,,,11410,21.49,연희동, 
2004,, ,11,6,2024,"2,000",다가구,85,,,11410,60,북가좌동, 
2009,, ,6,6,2024,"1,000",단독,50,,,11410,16,연희동, 
2004,, ,24,6,2024,"22,000",다가구,0,,,11410,50,창천동, 
2001,, ,10,6,2024,"8,000",다가구,50,,,11410,51.53,연희동, 
,, ,29,7,2024,500,단독,50,,,11410,16,연희동, 
2002,, ,27,7,2024,"2,000",단독,65,,,11410,20,연희동, 
1984,, ,25,7,2024,"8,000",단독,0,,,11410,20,창천동, 
2003,, ,25,7,2024,"4,400",다가구,40,,,11410,19.8,충정로3가, 
2010,, ,31,7,2024,"1,000",다가구,45,,,11410,15,창천동, 
2017,, ,24,7,2024,"1,000",다가구,53,,,11410,20.11,홍은동, 
1997,, ,19,7,2024,"7,000",다가구,0,,,11410,20,창천동, 
2014,, ,28,7,2024,"1,000",다가구,55,,,11410,20,연희동, 
1993,, ,19,7,2024,"2,000",다가구,130,,,11410,78.8,대신동, 
1989,, ,18,7,2024,"5,000",단독,60,,,11410,82.08,북가좌동, 
1977,, ,19,8,2024,"1,000",단독,50,,,11410,46.05,북가좌동, 
2018,, ,29,8,2024,"2,000",다가구,100,,,11410,30,북아현동, 
2008,, ,15,8,2024,"2,000",다가구,45,,,11410,16,창천동, 
2001,, ,9,8,2024,"4,000",단독,70,,,11410,25,연희동, 
2017,, ,3,8,2024,"7,000",다가구,38,,,11410,16,연희동, 
1975,, ,31,8,2024,"36,750",다가구,0,,,11410,84.17,연희동, 
1998,, ,19,8,2024,500,단독,50,,,11410,19.8,창천동, 
1987,, ,28,8,2024,"3,000",다가구,60,,,11410,45.9,홍은동, 
,, ,17,8,2024,"1,000",다가구,60,,,11410,26,북아현동, 
2003,, ,24,8,2024,"2,000",다가구,40,,,11410,14,창천동, 
1997,, ,25,9,2024,"1,500",다가구,55,,,11410,48,연희동, 
2013,, ,21,9,2024,"7,000",다가구,0,,,11410,19.8,연희동, 
1988,, ,27,9,2024,"1,000",다가구,60,,,11410,50.26,연희동, 
2012,, ,25,9,2024,200,단독,41,,,11410,13.24,연희동, 
,, ,25,9,2024,"15,000",단독,0,,,11410,23.14,창천동, 
1993,, ,10,9,2024,"6,000",다가구,0,,,11410,36.45,북아현동, 
,, ,22,9,2024,"9,000",다가구,0,,,11410,13,창천동, 
,, ,3,9,2024,"1,000",단독,58,,,11410,19,창천동, 
1996,, ,20,9,2024,"8,000",다가구,0,,,11410,19.836,연희동, 
2007,, ,22,9,2024,"9,000",다가구,0,,,11410,13,창천동, 
1995,, ,29,10,2024,"3,000",다가구,40,,,11410,24,연희동, 
1995,, ,26,10,2024,"1,000",다가구,60,,,11410,32.42,북아현동, 
1987,, ,29,10,2024,"7,000",단독,0,,,11410,38.08,홍은동, 
1990,, ,19,10,2024,"1,000",단독,30,,,11410,33.3,홍은동, 
2000,, ,22,10,2024,"1,000",다가구,65,,,11410,30,창천동, 
1966,, ,19,10,2024,"12,000",단독,0,,,11410,24.09,홍은동, 
1994,, ,19,10,2024,"15,000",다가구,0,,,11410,37.08,홍제동, 
1997,, ,1,10,2024,"3,000",다가구,35,,,11410,23,신촌동, 
1994,, ,12,10,2024,"2,000",다가구,50,,,11410,30,연희동, 
1997,, ,4,10,2024,"1,000",다가구,60,,,11410,19.6,연희동, 
1993,, ,27,11,2024,"1,000",다가구,50,,,11410,36.3,남가좌동, 
1994,, ,13,11,2024,"1,000",다가구,120,,,11410,23,연희동, 
1996,, ,26,11,2024,"1,000",단독,60,,,11410,21,대신동, 
1995,, ,27,11,2024,500,다가구,55,,,11410,30,창천동, 
1995,, ,11,11,2024,"10,000",다가구,0,,,11410,38.1,홍은동, 
2015,, ,12,11,2024,"5,500",단독,0,,,11410,14,홍은동, 
1997,, ,28,11,2024,"5,000",단독,25,,,11410,23,연희동, 
1998,, ,19,11,2024,"2,000",단독,60,,,11410,20,창천동, 
2022,, ,13,11,2024,"26,000",다가구,0,,,11410,29.28,북가좌동, 
2013,, ,9,11,2024,"3,000",다가구,30,,,11410,15,남가좌동, 
2019,, ,9,12,2024,"1,000",단독,55,,,11410,18,홍은동, 
2000,, ,28,12,2024,"1,000",다가구,65,,,11410,30,창천동, 
1996,, ,21,12,2024,"9,000",다가구,20,,,11410,33.276,천연동, 
1968,, ,17,12,2024,"11,000",단독,0,,,11410,67.11,북가좌동, 
1996,, ,5,12,2024,500,다가구,50,,,11410,30,연희동, 
1969,, ,1,12,2024,"10,200",단독,20,,,11410,21.06,홍제동, 
2003,, ,16,12,2024,"3,000",다가구,30,,,11410,17,연희동, 
1988,, ,14,12,2024,"13,000",다가구,0,,,11410,44.67,홍은동, 
1995,, ,11,12,2024,"14,500",다가구,0,,,11410,30,연희동, 
2017,, ,14,12,2024,"1,000",다가구,60,,,11410,32.3,북아현동, 
