buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,excluUseAr,floor,houseType,jibun,mhouseNm,monthlyRent,preDeposit,preMonthlyRent,sggCd,umdNm,useRRRight
1985,, ,8,1,2011,500,35.1,2,다세대,733,(733-0),45,,,11410,연희동, 
2004,, ,8,1,2011,"8,500",42.41,2,다세대,329-15,맥산빌라,0,,,11410,북가좌동, 
2010,, ,10,1,2011,"11,500",44.17,4,다세대,285-12,진양하이빌,0,,,11410,홍제동, 
2001,, ,25,1,2011,"8,500",39.94,2,연립,100-30,그린빌,0,,,11410,창천동, 
1991,, ,27,1,2011,"1,000",40.95,1,연립,8-35,"초원빌라(8-35가,나동)",0,,,11410,홍은동, 
2008,, ,13,1,2011,"3,000",51.91,3,다세대,122-38,(122-38),70,,,11410,홍제동, 
2011,, ,22,1,2011,"6,500",17.64,3,다세대,304-1,(304-1),0,,,11410,연희동, 
2010,, ,29,1,2011,"5,000",19.08,2,다세대,13-106,미현,20,,,11410,창천동, 
2004,, ,11,1,2011,"9,500",43.3,2,다세대,325-7,PANHAUS,0,,,11410,북가좌동, 
2002,, ,11,1,2011,"4,000",51.6,2,다세대,348-18,한양빌라(348-18),40,,,11410,북가좌동, 
1997,, ,1,1,2011,"5,000",50.65,1,다세대,370-26,(370-26),0,,,11410,남가좌동, 
1989,, ,19,1,2011,"1,000",42.5,-1,다세대,350-4,(350-4),32,,,11410,북가좌동, 
1996,, ,29,1,2011,"12,000",61.99,3,연립,5-119,충우주택(5-119),0,,,11410,북가좌동, 
2003,, ,19,1,2011,"18,000",67.95,4,다세대,1-1828,건일테크빌B동,0,,,11410,북아현동, 
2005,, ,10,1,2011,"12,000",57.95,2,다세대,329-31,삼성쉐르빌,0,,,11410,북가좌동, 
2003,11.02~13.02,신규,19,1,2011,"11,000",41.77,3,다세대,75-156,충우주택,0,,,11410,북가좌동, 
1986,, ,20,1,2011,"16,000",82.35,1,연립,168,삼성빌라,0,,,11410,연희동, 
1992,, ,23,1,2011,"8,000",46.06,1,연립,1-15,다성맨션,0,,,11410,연희동, 
2003,11.03~13.03,신규,19,1,2011,"11,000",45.29,2,다세대,285-8,(285-8),0,,,11410,홍제동, 
2001,, ,19,1,2011,"8,000",46.7,1,다세대,289-20,선정그랜드빌(289-20),0,,,11410,북가좌동, 
