buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,excluUseAr,floor,jibun,monthlyRent,offiNm,preDeposit,preMonthlyRent,sggCd,sggNm,umdNm,useRRRight
2005,, ,21,5,2011,"1,000",16.83,3,218-1,60,연희체스트빌,,,11410,서대문구,연희동, 
2006,, ,20,6,2011,"5,000",29.65,4,90-1,45,(90-1),,,11410,서대문구,대신동, 
2002,, ,27,6,2011,"1,000",20.39,5,121-4,48,오벨리스크,,,11410,서대문구,연희동, 
2004,, ,30,6,2011,"1,000",19.38,6,97-64,60,경선파인 오피스텔,,,11410,서대문구,창천동, 
2002,, ,10,6,2011,"1,000",20.67,5,100-15,40,브라운 힐,,,11410,서대문구,연희동, 
2004,, ,25,6,2011,"3,000",19.58,3,78-4,25,시아 루비움,,,11410,서대문구,연희동, 
2006,, ,3,6,2011,"7,500",22.61,4,190,20,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2006,, ,4,6,2011,"9,800",22.61,10,190,0,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2003,, ,7,6,2011,"9,000",26.03,2,136-7,0,(136-7),,,11410,서대문구,연희동, 
2004,, ,5,6,2011,"2,000",20.52,5,188-3,50,(188-3),,,11410,서대문구,연희동, 
2006,, ,10,6,2011,"9,500",19.4,7,190,0,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2002,, ,14,7,2011,"1,000",36,4,122-3,80,정연 지오빌,,,11410,서대문구,연희동, 
2006,, ,31,7,2011,"6,500",19.4,5,190,30,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2003,, ,9,7,2011,"7,000",22.23,6,88-11,0,정연지오빌ll,,,11410,서대문구,연희동, 
2002,, ,16,7,2011,"1,000",25.73,2,76-24,45,(76-24),,,11410,서대문구,연희동, 
2006,, ,23,7,2011,"7,000",19.4,6,190,0,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2003,, ,28,7,2011,"8,000",26.03,6,136-7,10,(136-7),,,11410,서대문구,연희동, 
2007,, ,20,7,2011,"20,000",115.53,8,340-27,0,현대싱그런,,,11410,서대문구,연희동, 
2009,, ,18,7,2011,"14,000",28.82,19,192,0,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
2009,, ,22,7,2011,"6,000",56.12,3,165-2,40,코지펠리스,,,11410,서대문구,홍은동, 
2009,, ,20,7,2011,"13,000",56.12,2,165-2,0,코지펠리스,,,11410,서대문구,홍은동, 
2002,, ,29,8,2011,"1,000",19.61,4,62-48,55,(62-48),,,11410,서대문구,창천동, 
2002,, ,22,8,2011,"5,000",14.11,6,92-7,0,창천오피스텔,,,11410,서대문구,창천동, 
2006,11.09~12.09,신규,13,8,2011,"9,000",22.61,7,190,0,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2004,, ,3,8,2011,500,22.59,4,328-19,45,엘림오피스텔,,,11410,서대문구,남가좌동, 
2002,, ,27,8,2011,"6,000",17.82,6,92-7,0,창천오피스텔,,,11410,서대문구,창천동, 
2005,11.08~13.08,신규,1,8,2011,"7,500",19.01,5,103-7,0,스페이스엠,,,11410,서대문구,연희동, 
2006,, ,25,8,2011,"8,500",19.4,10,190,0,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2003,, ,11,8,2011,"2,500",15.84,1,446-270,15,(446-270),,,11410,서대문구,연희동, 
2003,, ,9,8,2011,"7,500",27.48,7,136-7,15,(136-7),,,11410,서대문구,연희동, 
2003,, ,2,9,2011,"7,000",26.03,6,136-7,17,(136-7),,,11410,서대문구,연희동, 
2007,, ,23,9,2011,"5,000",116.81,8,194-30,200,브라운스톤 연희,,,11410,서대문구,연희동, 
2006,, ,25,9,2011,"8,000",22.61,8,190,25,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2004,, ,9,9,2011,"1,500",21.75,6,343-1,35,선정오피스텔,,,11410,서대문구,북가좌동, 
2005,, ,14,9,2011,"11,500",28.22,8,27-20,0,신촌가이아,,,11410,서대문구,대현동, 
2009,, ,30,9,2011,"14,500",56.12,8,165-2,0,코지펠리스,,,11410,서대문구,홍은동, 
2003,, ,16,9,2011,"5,000",22.95,5,396-24,0,현상준건물,,,11410,서대문구,홍은동, 
2002,, ,15,10,2011,"1,000",18.5,5,62-48,50,(62-48),,,11410,서대문구,창천동, 
2003,, ,31,10,2011,"1,000",17.34,5,396-25,30,동림오벨리스크,,,11410,서대문구,홍은동, 
2003,, ,31,10,2011,"3,000",24.48,5,396-25,29,동림오벨리스크,,,11410,서대문구,홍은동, 
2004,, ,17,10,2011,"1,000",24.29,5,45-5,70,이화인비따레오피스텔,,,11410,서대문구,대현동, 
2006,, ,19,10,2011,"7,700",19.4,3,190,0,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2004,, ,7,10,2011,500,21.75,10,343-1,45,선정오피스텔,,,11410,서대문구,북가좌동, 
2009,, ,10,10,2011,"15,000",56.12,5,165-2,0,코지펠리스,,,11410,서대문구,홍은동, 
