aptNm,buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,excluUseAr,floor,jibun,monthlyRent,preDeposit,preMonthlyRent,sggCd,umdNm,useRRRight
인왕산현대,2000,, ,3,1,2020,"25,000",114.72,8,460,86,,,11410,홍제동, 
신촌푸르지오,2015,, ,9,1,2020,"68,000",84.9572,12,1011,0,,,11410,북아현동, 
DMC센트레빌,2009,, ,7,1,2020,"42,000",59.95,13,381,0,,,11410,남가좌동, 
북한산두산위브,2020,, ,4,1,2020,"30,000",50.4,15,467,0,,,11410,홍은동, 
홍제삼성래미안,2001,, ,4,1,2020,"35,000",60,4,461,0,,,11410,홍제동, 
풍림2,1990,, ,8,1,2020,"27,000",58.5,4,453-2,0,,,11410,홍은동, 
대림,1993,, ,3,1,2020,"35,000",84.74,5,700,0,,,11410,연희동, 
북한산두산위브,2020,, ,6,1,2020,"41,000",84.98,15,467,0,,,11410,홍은동, 
두산,1999,, ,4,1,2020,"36,000",59.96,10,1009,0,,,11410,북아현동, 
DMC에코자이,2019,, ,1,1,2020,"56,000",72.84,16,389,0,,,11410,남가좌동, 
독립문극동(200-0),1998,, ,1,1,2020,"20,000",59.58,18,200,55,,,11410,현저동, 
DMC아이파크,2009,, ,23,1,2020,"41,000",59.96,10,458,0,,,11410,북가좌동, 
남가좌동현대,1999,, ,18,1,2020,"32,000",59.4,3,376,0,,,11410,남가좌동, 
북한산두산위브,2020,, ,16,1,2020,"42,000",84.98,6,467,0,,,11410,홍은동, 
DMC래미안e편한세상,2012,, ,10,1,2020,"80,000",120.95,25,481,0,,,11410,북가좌동, 
홍제한양,1993,, ,15,1,2020,"37,000",84.77,5,82,0,,,11410,홍제동, 
독립문극동(200-0),1998,, ,10,1,2020,"33,000",84.87,13,200,60,,,11410,현저동, 
홍제한양,1993,, ,11,1,2020,"30,000",60.06,9,82,0,,,11410,홍제동, 
청구3차,2001,, ,11,1,2020,"38,000",84.96,3,462,0,,,11410,홍제동, 
신촌럭키,1999,, ,16,1,2020,"47,000",83.38,4,144,0,,,11410,대현동, 
디엠씨엘가,2017,, ,22,1,2020,"1,000",13.03,8,387,55,,,11410,남가좌동, 
남가좌동현대,1999,, ,18,1,2020,"39,000",114.9,16,376,0,,,11410,남가좌동, 
DMC파크뷰자이2단지,2015,, ,11,1,2020,"60,000",84.968,19,385,0,,,11410,남가좌동, 
문영센스빌,2002,, ,23,1,2020,"25,000",83.6,1,1-46,0,,,11410,북아현동, 
북한산두산위브,2020,, ,17,1,2020,"30,500",59.96,4,467,0,,,11410,홍은동, 
북한산두산위브,2020,, ,13,1,2020,"30,000",59.96,6,467,0,,,11410,홍은동, 
신촌푸르지오,2015,, ,4,1,2020,"68,000",84.9892,13,1011,0,,,11410,북아현동, 
문화촌현대,2002,, ,5,1,2020,"38,500",84.99,2,463,0,,,11410,홍제동, 
천연뜨란채,2006,, ,2,1,2020,"39,000",55.82,12,145,0,,,11410,천연동, 
서소문,1971,, ,4,1,2020,"10,000",42.64,2,215,0,,,11410,미근동, 
홍제원현대(459-0),2000,, ,2,1,2020,"33,000",59.93,9,459,0,,,11410,홍제동, 
홍제한양,1993,, ,15,1,2020,"50,000",120.14,14,82,0,,,11410,홍제동, 
성원,1998,, ,1,1,2020,"21,000",41.5,8,456,0,,,11410,홍제동, 
DMC파크뷰자이2단지(임대),2015,20.01~22.01, ,14,1,2020,"3,184",39.997,10,385,18,,,11410,남가좌동, 
DMC래미안e편한세상,2012,, ,15,1,2020,"49,000",59.97,7,481,0,,,11410,북가좌동, 
3RU-City,2013,, ,28,1,2020,"1,000",16.93,7,510-2,75,,,11410,창천동, 
서강,1991,, ,13,1,2020,120,157.17,5,354-6,48,,,11410,홍제동, 
미동,1969,, ,11,1,2020,"3,000",55.57,2,189-8,60,,,11410,충정로3가, 
DMC래미안클라시스(임대),2000,, ,14,1,2020,"1,085",30.56,12,377-1,15,,,11410,남가좌동, 
