NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,서울특별시 서대문구 연희동,7**,단독,8m미만,149.22,115.1,202112,31,"120,000",-,-,1988,홍연길,-,중개거래,서울 서대문구
2,서울특별시 서대문구 연희동,1**,다가구,8m미만,191.96,159.7,202112,28,"130,000",-,-,1995,연희로10가길,-,중개거래,서울 서대문구
3,서울특별시 서대문구 연희동,4**,단독,8m미만,33.05,40.0,202112,22,"30,000",-,-,1990,성산로13길,20220316,중개거래,서울 서대문구
4,서울특별시 서대문구 연희동,2**,다가구,8m미만,252.39,149.0,202112,15,"115,000",-,-,1998,연희로8길,-,중개거래,서울 강남구
5,서울특별시 서대문구 연희동,9*,단독,8m미만,170.15,267.4,202112,7,"275,000",-,-,1968,연희로27다길,-,중개거래,서울 마포구
6,서울특별시 서대문구 연희동,9*,단독,8m미만,170.15,267.4,202112,7,"275,000",-,-,1968,연희로27다길,-,중개거래,서울 마포구
7,서울특별시 서대문구 연희동,7*,다가구,8m미만,413.91,198.3,202111,26,"198,000",-,-,1997,연희로24길,-,중개거래,서울 서대문구
8,서울특별시 서대문구 연희동,1**,단독,8m미만,48.13,70.1,202111,20,"76,000",-,-,1971,연희로15길,-,중개거래,서울 서대문구
9,서울특별시 서대문구 연희동,1**,단독,8m미만,48.13,70.1,202111,20,"76,000",-,-,1971,연희로15길,-,중개거래,서울 서대문구
10,서울특별시 서대문구 연희동,6*,단독,8m미만,194.38,294.0,202111,2,"240,000",-,-,1978,연희로16길,-,중개거래,서울 서대문구
11,서울특별시 서대문구 연희동,1**,단독,8m미만,197.85,214.2,202110,20,"210,000",-,-,1968,연희로15길,-,-,-
12,서울특별시 서대문구 연희동,1**,단독,8m미만,252.81,538.5,202110,18,"290,000",-,-,1975,연희로11마길,-,-,-
13,서울특별시 서대문구 연희동,1**,단독,8m미만,238.95,255.9,202110,8,"225,000",-,-,1973,연희로11사길,-,-,-
14,서울특별시 서대문구 연희동,6*,단독,8m미만,268.94,2496.0,202110,6,"215,000",-,-,1988,연희로22길,-,-,-
15,서울특별시 서대문구 연희동,4*,단독,8m미만,246.94,548.0,202110,1,"500,000",-,-,1980,연희로18길,-,-,-
16,서울특별시 서대문구 연희동,1**,단독,8m미만,164.87,363.3,202109,28,"370,000",-,-,1974,연희로15안길,-,-,-
17,서울특별시 서대문구 연희동,4**,단독,8m미만,95.98,139.0,202109,25,"70,000",-,-,1987,연희로11다길,-,-,-
