NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,서울특별시 서대문구 연희동,80-7,80,7,파라다이스텔에스비,15.94,202412,26,"9,100",9,법인,개인,2003,연희로 158,-,중개거래,서울 영등포구
2,서울특별시 서대문구 연희동,80-7,80,7,파라다이스텔에스비,15.94,202412,17,"9,000",4,법인,개인,2003,연희로 158,-,중개거래,서울 영등포구
3,서울특별시 서대문구 연희동,88-11,88,11,정연지오빌ll,30.03,202411,14,"17,600",6,개인,개인,2003,연희로 128,-,중개거래,서울 서대문구
4,서울특별시 서대문구 연희동,88-11,88,11,정연지오빌ll,22.23,202410,30,"13,100",4,개인,개인,2003,연희로 128,-,중개거래,서울 서대문구
5,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤 연희,58.57,202409,23,"52,000",9,개인,개인,2007,연희로 82,-,중개거래,서울 서대문구
6,서울특별시 서대문구 연희동,88-11,88,11,정연지오빌ll,22.8,202409,12,"13,800",3,개인,개인,2003,연희로 128,20240920,중개거래,서울 서대문구
7,서울특별시 서대문구 연희동,88-11,88,11,정연지오빌ll,22.8,202409,12,"13,800",3,개인,개인,2003,연희로 128,-,중개거래,서울 서대문구
8,서울특별시 서대문구 연희동,212-2,212,2,연희소프트빌,16.2,202408,24,"9,200",7,개인,개인,2001,연희로 60,-,중개거래,서울 서대문구
9,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤 연희,28.79,202408,6,"20,500",4,개인,개인,2007,연희로 82,-,중개거래,서울 서대문구
10,서울특별시 서대문구 연희동,78-4,78,4,시아 루비움,17.16,202407,4,"9,500",4,개인,개인,2004,연희로 183,-,중개거래,서울 서대문구
11,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤 연희,156.24,202406,14,"93,000",9,개인,개인,2007,연희로 82,-,중개거래,서울 서대문구
12,서울특별시 서대문구 연희동,218-1,218,1,연희체스트빌,16.83,202405,17,"11,200",2,개인,개인,2005,연희로 63,-,중개거래,서울 서대문구
13,서울특별시 서대문구 연희동,212-2,212,2,연희소프트빌,16.2,202404,10,"9,000",9,개인,개인,2001,연희로 60,-,중개거래,서울 마포구
14,서울특별시 서대문구 연희동,212-2,212,2,연희소프트빌,16.2,202404,1,"9,600",7,개인,개인,2001,연희로 60,-,중개거래,서울 마포구
15,서울특별시 서대문구 연희동,103-7,103,7,스페이스엠,19.01,202403,18,"10,000",6,개인,개인,2005,증가로 52,-,직거래,-
16,서울특별시 서대문구 연희동,80-7,80,7,파라다이스텔에스비,15.94,202403,13,"9,150",4,개인,개인,2003,연희로 158,-,중개거래,서울 서대문구
17,서울특별시 서대문구 연희동,142-21,142,21,연희미다스파크,26.67,202403,2,"21,900",5,개인,개인,2019,연희로 233,-,중개거래,서울 서대문구
18,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤 연희,31.96,202402,1,"22,250",4,개인,개인,2007,연희로 82,-,중개거래,서울 서대문구
19,서울특별시 서대문구 연희동,122-3,122,3,정연 지오빌,19.44,202401,27,"10,500",5,개인,개인,2002,증가로 15-1,-,중개거래,서울 은평구
20,서울특별시 서대문구 연희동,340-27,340,27,현대싱그런,116.97,202401,18,"61,000",2,개인,개인,2007,성산로 371,-,직거래,-
21,서울특별시 서대문구 연희동,218-1,218,1,연희체스트빌,16.83,202401,17,"12,000",5,개인,개인,2005,연희로 63,-,중개거래,서울 서대문구
