NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
1,서울특별시 서대문구 연희동,745,745,0,연희자이엘라,월세,13.642,202312,30,"1,000",70,6,2014,연희로5길 14,202401~202501,신규,-,,,아파트
2,서울특별시 서대문구 연희동,723-9,723,9,홍연(723-9),월세,52.23,202312,29,"3,000",70,5,1981,홍연6길 40,202401~202601,신규,-,,,아파트
3,서울특별시 서대문구 연희동,747,747,0,연희파크푸르지오,월세,59.9835,202312,29,"12,955",29,3,2018,홍제천로 136,-,신규,-,,,아파트
4,서울특별시 서대문구 연희동,739,739,0,대우푸르지오,전세,84.706,202312,29,"60,000",0,6,2002,연희로 38-20,202402~202602,신규,-,,,아파트
5,서울특별시 서대문구 연희동,747,747,0,연희파크푸르지오,월세,59.9835,202312,29,"14,315",22,3,2018,홍제천로 136,-,신규,-,,,아파트
6,서울특별시 서대문구 연희동,747,747,0,연희파크푸르지오,월세,59.9835,202312,29,"14,315",22,2,2018,홍제천로 136,-,신규,-,,,아파트
7,서울특별시 서대문구 연희동,37-1,37,1,리베르떼-빌(LibertVille),전세,207.86,202312,29,"92,500",0,1,2002,연희로10길 43-20,202403~202603,신규,-,,,아파트
8,서울특별시 서대문구 연희동,700,700,0,대림,월세,119.49,202312,28,"40,000",130,6,1993,연희로32길 20,202403~202603,신규,-,,,아파트
9,서울특별시 서대문구 연희동,747,747,0,연희파크푸르지오,월세,59.9835,202312,28,"14,315",22,18,2018,홍제천로 136,-,신규,-,,,아파트
10,서울특별시 서대문구 연희동,218-16,218,16,일진아이윌,전세,64.455,202312,27,"40,000",0,4,2005,동교로 290,-,-,-,,,아파트
11,서울특별시 서대문구 연희동,218-16,218,16,일진아이윌,전세,64.455,202312,27,"41,000",0,4,2005,동교로 290,202401~202601,갱신,사용,"40,000",0.0,아파트
12,서울특별시 서대문구 연희동,747,747,0,연희파크푸르지오,월세,59.9835,202312,26,"12,755",30,10,2018,홍제천로 136,-,신규,-,,,아파트
13,서울특별시 서대문구 연희동,745,745,0,연희자이엘라,월세,13.642,202312,23,"1,000",70,9,2014,연희로5길 14,202402~202502,신규,-,,,아파트
14,서울특별시 서대문구 연희동,739,739,0,대우푸르지오,전세,114.705,202312,23,"63,500",0,19,2002,연희로 38-20,202402~202602,신규,-,,,아파트
15,서울특별시 서대문구 연희동,739,739,0,대우푸르지오,전세,59.584,202312,23,"47,000",0,9,2002,연희로 38-20,202402~202602,신규,-,,,아파트
16,서울특별시 서대문구 연희동,746,746,0,연희웨스트팰리스,월세,13.12,202312,23,"1,000",63,6,2014,연희로5길 54-11,202402~202502,갱신,-,"1,000",60.0,아파트
17,서울특별시 서대문구 연희동,747,747,0,연희파크푸르지오,월세,59.9835,202312,22,"14,315",22,6,2018,홍제천로 136,202401~202512,갱신,-,"10,275",42.0,아파트
18,서울특별시 서대문구 연희동,747,747,0,연희파크푸르지오,월세,59.9835,202312,20,"14,315",22,13,2018,홍제천로 136,-,신규,-,,,아파트
19,서울특별시 서대문구 연희동,740,740,0,성원,전세,84.95,202312,20,"54,600",0,9,2001,연희로32길 48,202312~202512,갱신,사용,"52,000",0.0,아파트
20,서울특별시 서대문구 연희동,747,747,0,연희파크푸르지오,월세,59.9835,202312,19,"6,409",57,5,2018,홍제천로 136,-,신규,-,,,아파트
21,서울특별시 서대문구 연희동,739,739,0,대우푸르지오,전세,59.584,202312,18,"45,000",0,14,2002,연희로 38-20,202312~202512,신규,-,,,아파트
22,서울특별시 서대문구 연희동,745,745,0,연희자이엘라,월세,13.642,202312,18,"1,000",75,8,2014,연희로5길 14,202401~202501,신규,-,,,아파트
23,서울특별시 서대문구 연희동,740,740,0,성원,전세,84.95,202312,17,"55,000",0,7,2001,연희로32길 48,202402~202602,갱신,-,"63,000",0.0,아파트
24,서울특별시 서대문구 연희동,747,747,0,연희파크푸르지오,월세,84.4317,202312,17,"13,000",200,15,2018,홍제천로 136,202402~202602,신규,-,,,아파트
25,서울특별시 서대문구 연희동,739,739,0,대우푸르지오,전세,59.584,202312,16,"44,000",0,8,2002,연희로 38-20,202402~202602,신규,-,,,아파트
26,서울특별시 서대문구 연희동,746,746,0,연희웨스트팰리스,월세,13.12,202312,16,"3,000",54,6,2014,연희로5길 54-11,202401~202412,신규,-,,,아파트
27,서울특별시 서대문구 연희동,745,745,0,연희자이엘라,월세,13.642,202312,16,"1,000",64,2,2014,연희로5길 14,202312~202412,신규,-,,,아파트
28,서울특별시 서대문구 연희동,747,747,0,연희파크푸르지오,월세,59.9835,202312,15,"14,315",22,3,2018,홍제천로 136,-,신규,-,,,아파트
29,서울특별시 서대문구 연희동,745,745,0,연희자이엘라,월세,13.642,202312,14,"1,000",70,13,2014,연희로5길 14,202312~202412,신규,-,,,아파트
