NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,서울특별시 서대문구 연희동,218-1,218,1,연희체스트빌,16.83,202212,28,"12,000",8,-,-,2005,연희로 63,-,중개거래,서울 서대문구
2,서울특별시 서대문구 연희동,121-4,121,4,오벨리스크,20.39,202212,26,"10,200",2,-,-,2002,증가로 33,-,중개거래,서울 서대문구
3,서울특별시 서대문구 연희동,121-4,121,4,오벨리스크,20.39,202212,22,"10,000",6,-,-,2002,증가로 33,-,직거래,-
4,서울특별시 서대문구 연희동,80-7,80,7,파라다이스텔에스비,19.24,202211,11,"10,000",7,-,-,2003,연희로 158,-,중개거래,서울 서대문구
5,서울특별시 서대문구 연희동,88-11,88,11,정연지오빌ll,25.53,202210,25,"13,500",2,-,-,2003,연희로 128,-,중개거래,서울 서대문구
6,서울특별시 서대문구 연희동,79-30,79,30,D&D house,29.19,202210,20,"31,000",2,-,-,2022,연희로 168,-,직거래,-
7,서울특별시 서대문구 연희동,79-30,79,30,D&D house,28.81,202210,20,"30,600",2,-,-,2022,연희로 168,-,직거래,-
8,서울특별시 서대문구 연희동,79-30,79,30,D&D house,29.65,202210,20,"31,150",2,-,-,2022,연희로 168,-,직거래,-
9,서울특별시 서대문구 연희동,212-2,212,2,연희소프트빌,16.2,202210,17,"8,000",2,-,-,2001,연희로 60,-,중개거래,서울 서대문구
10,서울특별시 서대문구 연희동,212-2,212,2,연희소프트빌,16.2,202210,15,"8,500",2,-,-,2001,연희로 60,-,중개거래,서울 서대문구
11,서울특별시 서대문구 연희동,103-7,103,7,스페이스엠,19.01,202209,21,"10,000",1,-,-,2005,증가로 52,-,직거래,-
12,서울특별시 서대문구 연희동,78-4,78,4,시아 루비움,19.25,202209,8,"10,000",5,-,-,2004,연희로 183,-,중개거래,서울 서대문구
13,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤 연희,28.79,202208,26,"21,500",4,-,-,2007,연희로 82,-,중개거래,서울 서대문구
14,서울특별시 서대문구 연희동,218-1,218,1,연희체스트빌,16.83,202207,30,"12,500",3,-,-,2005,연희로 63,-,중개거래,서울 서대문구
15,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤 연희,64.41,202207,20,"48,000",8,-,-,2007,연희로 82,-,중개거래,서울 서대문구
16,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤 연희,28.79,202207,1,"21,500",4,-,-,2007,연희로 82,20220826,중개거래,서울 서대문구
17,서울특별시 서대문구 연희동,218-1,218,1,연희체스트빌,24.15,202206,15,"15,000",2,-,-,2005,연희로 63,-,중개거래,서울 서대문구
18,서울특별시 서대문구 연희동,142-21,142,21,연희미다스파크,39.62,202205,23,"31,500",5,-,-,2019,연희로 233,-,직거래,-
19,서울특별시 서대문구 연희동,218-1,218,1,연희체스트빌,20.4,202204,28,"14,500",8,-,-,2005,연희로 63,-,중개거래,서울 서대문구
20,서울특별시 서대문구 연희동,218-1,218,1,연희체스트빌,16.83,202204,19,"12,000",2,-,-,2005,연희로 63,-,중개거래,서울 서대문구
21,서울특별시 서대문구 연희동,340-27,340,27,현대싱그런,89.73,202204,5,"65,000",3,-,-,2007,성산로 371,-,중개거래,서울 서대문구
22,서울특별시 서대문구 연희동,103-7,103,7,스페이스엠,19.01,202203,30,"10,000",4,-,-,2005,증가로 52,-,중개거래,서울 서대문구
23,서울특별시 서대문구 연희동,212-2,212,2,연희소프트빌,16.2,202203,28,"10,500",9,-,-,2001,연희로 60,-,중개거래,서울 마포구
24,서울특별시 서대문구 연희동,121-4,121,4,오벨리스크,20.39,202203,3,"12,500",4,-,-,2002,증가로 33,-,직거래,-
25,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤 연희,28.79,202202,21,"20,000",4,-,-,2007,연희로 82,-,중개거래,서울 서대문구
26,서울특별시 서대문구 연희동,218-1,218,1,연희체스트빌,16.83,202202,8,"12,400",3,-,-,2005,연희로 63,-,중개거래,서울 서대문구
27,서울특별시 서대문구 연희동,218-1,218,1,연희체스트빌,16.83,202201,29,"13,000",8,-,-,2005,연희로 63,-,중개거래,서울 서대문구
28,서울특별시 서대문구 연희동,76-24,76,24,(76-24),25.73,202201,17,"10,800",7,-,-,2002,연희로 188-1,-,중개거래,서울 서대문구
29,서울특별시 서대문구 연희동,340-27,340,27,현대싱그런,115.53,202201,13,"82,500",7,-,-,2007,성산로 371,-,중개거래,서울 마포구 서울 서대문구
30,서울특별시 서대문구 연희동,142-21,142,21,연희미다스파크,33.79,202201,8,"24,800",5,-,-,2019,연희로 233,-,중개거래,서울 서대문구
