NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 서대문구 연희동,195-11,195,11,목화연립,48.93,72.73,202112,20,"28,000",2,-,-,1980,증가로2길 48,-,중개거래,서울 서대문구,-
2,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤연희,17.01,7.396,202112,17,"17,830",3,-,-,2007,연희로 82,-,직거래,-,-
3,서울특별시 서대문구 연희동,187-120,187,120,보성빌라,24.57,12.06,202112,13,"12,700",2,-,-,1997,연희로11자길 14-28,-,직거래,-,-
4,서울특별시 서대문구 연희동,706-9,706,9,미정맨션,44.28,22.09,202112,4,"16,000",3,-,-,1999,홍연4길 6-5,-,중개거래,서울 서대문구,-
5,서울특별시 서대문구 연희동,520-29,520,29,연희유지빌102동,84.44,35.93,202112,3,"39,000",4,-,-,2006,홍제천로2길 112,-,중개거래,서울 서대문구,-
6,서울특별시 서대문구 연희동,88-25,88,25,리치빌,38.87,21.35,202112,2,"24,000",3,-,-,2002,연희로16길 36-5,-,직거래,-,-
7,서울특별시 서대문구 연희동,520-117,520,117,유지빌,67.1,31.55,202112,1,"26,000",4,-,-,2006,홍제천로2길 108-12,-,중개거래,서울 마포구,-
8,서울특별시 서대문구 연희동,1-6,1,6,연희스카이캐슬,29.97,21.27,202111,29,"34,400",3,-,-,2021,모래내로 396-2,-,직거래,-,-
9,서울특별시 서대문구 연희동,121-19,121,19,(121-19),60.83,51.4,202111,23,"50,000",1,-,-,1977,증가로 27-5,-,중개거래,서울 강서구 서울 서대문구,-
10,서울특별시 서대문구 연희동,121-19,121,19,(121-19),51.57,51.4,202111,23,"50,000",2,-,-,1977,증가로 27-5,-,중개거래,서울 강서구 서울 서대문구,-
11,서울특별시 서대문구 연희동,121-19,121,19,(121-19),51.57,51.4,202111,23,"50,000",2,-,-,1977,증가로 27-5,-,중개거래,서울 강서구 서울 서대문구,-
12,서울특별시 서대문구 연희동,121-19,121,19,(121-19),60.83,51.4,202111,23,"50,000",2,-,-,1977,증가로 27-5,-,중개거래,서울 강서구 서울 서대문구,-
13,서울특별시 서대문구 연희동,121-19,121,19,(121-19),51.57,51.4,202111,23,"50,000",1,-,-,1977,증가로 27-5,-,중개거래,서울 강서구 서울 서대문구,-
14,서울특별시 서대문구 연희동,121-19,121,19,(121-19),51.57,51.4,202111,23,"50,000",1,-,-,1977,증가로 27-5,-,중개거래,서울 강서구 서울 서대문구,-
15,서울특별시 서대문구 연희동,88-25,88,25,리치빌,35.68,21.0,202111,17,"22,500",2,-,-,2002,연희로16길 36-5,-,중개거래,경기 파주시 서울 은평구,-
16,서울특별시 서대문구 연희동,51-116,51,116,초원빌라,82.03,80.48,202111,16,"7,700",-1,-,-,1986,연희로14길 62-23,-,중개거래,서울 서대문구,-
17,서울특별시 서대문구 연희동,170-61,170,61,금강블루,28.95,18.81,202111,11,"21,500",5,-,-,2017,연희로33길 29-1,-,중개거래,서울 서대문구,-
18,서울특별시 서대문구 연희동,170-61,170,61,금강블루,26.38,17.14,202111,10,"25,500",5,-,-,2017,연희로33길 29-1,-,직거래,-,-
19,서울특별시 서대문구 연희동,731-2,731,2,세종연립,60.17,49.5102,202111,10,"26,800",3,-,-,1980,홍제천로 180,-,중개거래,서울 서대문구,-
20,서울특별시 서대문구 연희동,51-103,51,103,효동빌라,45.72,34.85,202111,9,"8,500",-1,-,-,1990,연희로18길 35-2,-,직거래,-,-
21,서울특별시 서대문구 연희동,1-6,1,6,연희스카이캐슬,29.86,21.19,202111,6,"34,000",3,-,-,2021,모래내로 396-1,-,직거래,-,-
22,서울특별시 서대문구 연희동,48-7,48,7,삼우빌라,83.1,61.81,202111,6,"99,000",3,-,-,1991,연희로14길 47,-,중개거래,서울 서대문구,-
23,서울특별시 서대문구 연희동,219-15,219,15,(219-15),44.37,32.24,202111,3,"21,800",1,-,-,1986,연희로5길 46-7,-,중개거래,서울 마포구,-
24,서울특별시 서대문구 연희동,1-10,1,10,(1-10),71.7,22.87,202110,29,"39,500",4,-,-,1999,모래내로 386,-,-,-,-
25,서울특별시 서대문구 연희동,170-61,170,61,금강블루,31.96,20.76,202110,29,"27,000",3,-,-,2017,연희로33길 29-1,-,-,-,-
26,서울특별시 서대문구 연희동,산118-57,118,57,상지주택,59.85,26.52,202110,28,"22,000",1,-,-,1996,홍제천로2길 34-18,-,-,-,-
27,서울특별시 서대문구 연희동,170-135,170,135,(170-135),87.58,52.12,202110,25,"34,000",3,-,-,2003,홍제천로 170-9,-,-,-,-
28,서울특별시 서대문구 연희동,1-6,1,6,연희스카이캐슬,35.17,24.96,202110,24,"36,800",4,-,-,2021,모래내로 396-2,-,-,-,-
29,서울특별시 서대문구 연희동,1-65,1,65,기단빌라에이동,39.68,20.62,202110,21,"14,000",1,-,-,1991,모래내로20길 24,-,-,-,-
30,서울특별시 서대문구 연희동,195-11,195,11,목화연립,54.88,82.64,202110,19,"31,000",2,-,-,1980,증가로2길 48,-,-,-,-
31,서울특별시 서대문구 연희동,1-86,1,86,안산파크빌,51.33,37.46,202110,18,"37,000",2,-,-,2015,모래내로20길 24-13,-,-,-,-
32,서울특별시 서대문구 연희동,351-5,351,5,메이플빌,56.64,32.45,202110,18,"34,000",3,-,-,2008,연희로4길 13-16,-,-,-,-
33,서울특별시 서대문구 연희동,산118-57,118,57,상지주택,59.72,26.46,202110,18,"25,000",2,-,-,1996,홍제천로2길 34-18,-,-,-,-
34,서울특별시 서대문구 연희동,520-43,520,43,연흥가나안빌라,38.16,14.348,202110,18,"16,000",4,-,-,2001,홍제천로 54-77,-,-,-,-
