NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
59,서울특별시 서대문구 연희동,193-9,193,9,(193-9),28.89,202004,28,"18,628",4,-,-,2020,연희맛로 2-7,-,-,-
60,서울특별시 서대문구 연희동,193-9,193,9,(193-9),28.19,202004,28,"18,179",4,-,-,2020,연희맛로 2-7,-,-,-
61,서울특별시 서대문구 연희동,193-9,193,9,(193-9),29.01,202004,28,"18,703",2,-,-,2020,연희맛로 2-7,-,-,-
62,서울특별시 서대문구 연희동,193-9,193,9,(193-9),22.64,202004,28,"14,598",2,-,-,2020,연희맛로 2-7,-,-,-
63,서울특별시 서대문구 연희동,193-9,193,9,(193-9),28.19,202004,28,"18,179",3,-,-,2020,연희맛로 2-7,-,-,-
64,서울특별시 서대문구 연희동,193-9,193,9,(193-9),28.89,202004,28,"18,628",3,-,-,2020,연희맛로 2-7,-,-,-
65,서울특별시 서대문구 연희동,193-9,193,9,(193-9),29.01,202004,28,"18,703",4,-,-,2020,연희맛로 2-7,-,-,-
66,서울특별시 서대문구 연희동,193-9,193,9,(193-9),28.74,202004,28,"18,532",3,-,-,2020,연희맛로 2-7,-,-,-
67,서울특별시 서대문구 연희동,193-9,193,9,(193-9),28.74,202004,28,"18,532",4,-,-,2020,연희맛로 2-7,-,-,-
68,서울특별시 서대문구 연희동,193-9,193,9,(193-9),28.74,202004,28,"18,532",2,-,-,2020,연희맛로 2-7,-,-,-
69,서울특별시 서대문구 연희동,193-9,193,9,(193-9),28.19,202004,28,"18,179",2,-,-,2020,연희맛로 2-7,-,-,-
70,서울특별시 서대문구 연희동,142-21,142,21,연희미다스파크,33.79,202004,22,"24,558",6,-,-,2019,연희로 233,-,-,-
71,서울특별시 서대문구 연희동,142-21,142,21,연희미다스파크,33.79,202004,22,"24,558",4,-,-,2019,연희로 233,-,-,-
72,서울특별시 서대문구 연희동,121-4,121,4,오벨리스크,20.39,202004,17,"11,000",2,-,-,2002,증가로 33,-,-,-
73,서울특별시 서대문구 연희동,142-21,142,21,연희미다스파크,33.79,202004,16,"24,558",3,-,-,2019,연희로 233,-,-,-
74,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤 연희,97.65,202004,15,"51,700",12,-,-,2007,연희로 82,-,-,-
75,서울특별시 서대문구 연희동,80-7,80,7,파라다이스텔에스비,15.94,202003,31,"11,000",6,-,-,2003,연희로 158,-,-,-
76,서울특별시 서대문구 연희동,142-21,142,21,연희미다스파크,33.79,202003,28,"24,347",3,-,-,2019,연희로 233,20200914,-,-
77,서울특별시 서대문구 연희동,142-21,142,21,연희미다스파크,33.79,202003,21,"24,347",2,-,-,2019,연희로 233,20200914,-,-
78,서울특별시 서대문구 연희동,142-21,142,21,연희미다스파크,33.79,202003,20,"24,347",3,-,-,2019,연희로 233,20200427,-,-
79,서울특별시 서대문구 연희동,340-27,340,27,현대싱그런,115.53,202003,12,"65,000",8,-,-,2007,성산로 371,-,-,-
80,서울특별시 서대문구 연희동,80-7,80,7,파라다이스텔에스비,19.24,202003,9,"11,500",11,-,-,2003,연희로 158,-,-,-
81,서울특별시 서대문구 연희동,340-27,340,27,현대싱그런,115.53,202003,8,"58,300",6,-,-,2007,성산로 371,-,-,-
82,서울특별시 서대문구 연희동,80-7,80,7,파라다이스텔에스비,15.94,202003,7,"11,000",4,-,-,2003,연희로 158,-,-,-
83,서울특별시 서대문구 연희동,122-3,122,3,정연 지오빌,36.0,202003,3,"18,500",6,-,-,2002,증가로 15-1,-,-,-
84,서울특별시 서대문구 연희동,340-27,340,27,현대싱그런,87.59,202002,18,"40,000",4,-,-,2007,성산로 371,-,-,-
85,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤 연희,64.41,202002,18,"39,500",11,-,-,2007,연희로 82,-,-,-
86,서울특별시 서대문구 연희동,78-4,78,4,시아 루비움,19.25,202002,18,"9,000",7,-,-,2004,연희로 183,-,-,-
87,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤 연희,132.63,202002,18,"62,000",7,-,-,2007,연희로 82,-,-,-
88,서울특별시 서대문구 연희동,78-4,78,4,시아 루비움,19.25,202002,7,"9,500",7,-,-,2004,연희로 183,-,-,-
89,서울특별시 서대문구 연희동,340-27,340,27,현대싱그런,115.53,202002,6,"56,000",5,-,-,2007,성산로 371,-,-,-
90,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤 연희,28.79,202002,5,"22,300",6,-,-,2007,연희로 82,-,-,-
91,서울특별시 서대문구 연희동,218-11,218,11,THE연희힐,18.92,202002,3,"22,350",3,-,-,2018,동교로 296-42,-,-,-
92,서울특별시 서대문구 연희동,218-11,218,11,THE연희힐,18.92,202001,28,"22,350",3,-,-,2018,동교로 296-42,-,-,-
93,서울특별시 서대문구 연희동,218-11,218,11,(218-11),18.92,202001,22,"21,500",4,-,-,2018,동교로 296-42,-,-,-
94,서울특별시 서대문구 연희동,78-4,78,4,시아 루비움,18.7,202001,15,"9,200",7,-,-,2004,연희로 183,-,-,-
95,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤 연희,28.79,202001,14,"21,500",6,-,-,2007,연희로 82,-,-,-
96,서울특별시 서대문구 연희동,122-3,122,3,정연 지오빌,36.0,202001,13,"14,000",6,-,-,2002,증가로 15-1,-,-,-
97,서울특별시 서대문구 연희동,340-27,340,27,현대싱그런,87.59,202001,11,"48,000",6,-,-,2007,성산로 371,-,-,-
98,서울특별시 서대문구 연희동,212-2,212,2,연희소프트빌,16.2,202001,3,"10,500",4,-,-,2001,연희로 60,-,-,-
