NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,서울특별시 서대문구 연희동,122-3,122,3,정연 지오빌,19.44,202012,28,"9,500",5,-,-,2002,증가로 15-1,-,-,-
2,서울특별시 서대문구 연희동,142-21,142,21,연희미다스파크,34.24,202012,23,"23,399",2,-,-,2019,연희로 233,-,-,-
3,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤 연희,116.81,202012,16,"68,500",9,-,-,2007,연희로 82,-,-,-
4,서울특별시 서대문구 연희동,218-1,218,1,연희체스트빌,16.83,202012,7,"12,800",7,-,-,2005,연희로 63,-,-,-
5,서울특별시 서대문구 연희동,78-4,78,4,시아 루비움,17.6,202012,2,"12,000",3,-,-,2004,연희로 183,-,-,-
6,서울특별시 서대문구 연희동,122-3,122,3,정연 지오빌,19.44,202011,30,"10,400",3,-,-,2002,증가로 15-1,20210226,-,-
7,서울특별시 서대문구 연희동,122-3,122,3,정연 지오빌,24.38,202011,26,"14,000",4,-,-,2002,증가로 15-1,-,-,-
8,서울특별시 서대문구 연희동,142-21,142,21,연희미다스파크,33.79,202011,24,"24,500",6,-,-,2019,연희로 233,-,-,-
9,서울특별시 서대문구 연희동,142-21,142,21,연희미다스파크,33.79,202011,16,"24,347",3,-,-,2019,연희로 233,-,-,-
10,서울특별시 서대문구 연희동,142-21,142,21,연희미다스파크,33.79,202011,11,"24,558",4,-,-,2019,연희로 233,-,-,-
11,서울특별시 서대문구 연희동,218-1,218,1,연희체스트빌,16.83,202011,10,"12,500",7,-,-,2005,연희로 63,-,-,-
12,서울특별시 서대문구 연희동,218-1,218,1,연희체스트빌,16.83,202011,6,"12,500",4,-,-,2005,연희로 63,-,-,-
13,서울특별시 서대문구 연희동,142-21,142,21,연희미다스파크,33.79,202011,4,"24,558",4,-,-,2019,연희로 233,-,-,-
14,서울특별시 서대문구 연희동,340-27,340,27,현대싱그런,86.17,202011,2,"65,000",6,-,-,2007,성산로 371,-,-,-
15,서울특별시 서대문구 연희동,142-21,142,21,연희미다스파크,33.79,202010,30,"24,558",5,-,-,2019,연희로 233,-,-,-
16,서울특별시 서대문구 연희동,80-7,80,7,파라다이스텔에스비,15.94,202010,30,"10,750",8,-,-,2003,연희로 158,-,-,-
17,서울특별시 서대문구 연희동,142-21,142,21,연희미다스파크,33.79,202010,26,"24,347",2,-,-,2019,연희로 233,-,-,-
18,서울특별시 서대문구 연희동,142-21,142,21,연희미다스파크,33.79,202010,22,"24,347",3,-,-,2019,연희로 233,-,-,-
19,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤 연희,28.79,202010,21,"20,500",5,-,-,2007,연희로 82,-,-,-
20,서울특별시 서대문구 연희동,142-21,142,21,연희미다스파크,33.79,202010,20,"23,399",5,-,-,2019,연희로 233,-,-,-
21,서울특별시 서대문구 연희동,212-2,212,2,연희소프트빌,16.2,202010,18,"10,500",3,-,-,2001,연희로 60,-,-,-
22,서울특별시 서대문구 연희동,80-7,80,7,파라다이스텔에스비,15.94,202010,16,"10,000",2,-,-,2003,연희로 158,-,-,-
23,서울특별시 서대문구 연희동,76-24,76,24,(76-24),25.73,202010,14,"10,000",7,-,-,2002,연희로 188-1,-,-,-
24,서울특별시 서대문구 연희동,80-7,80,7,파라다이스텔에스비,15.94,202010,14,"10,000",3,-,-,2003,연희로 158,-,-,-
25,서울특별시 서대문구 연희동,80-7,80,7,파라다이스텔에스비,19.24,202010,10,"9,500",8,-,-,2003,연희로 158,-,-,-
26,서울특별시 서대문구 연희동,103-7,103,7,스페이스엠,19.01,202010,7,"10,000",4,-,-,2005,증가로 52,-,-,-
27,서울특별시 서대문구 연희동,103-7,103,7,스페이스엠,19.01,202010,5,"10,000",6,-,-,2005,증가로 52,-,-,-
28,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤 연희,31.96,202009,24,"21,000",6,-,-,2007,연희로 82,-,-,-
29,서울특별시 서대문구 연희동,142-21,142,21,연희미다스파크,39.62,202009,20,"27,799",2,-,-,2019,연희로 233,-,-,-
30,서울특별시 서대문구 연희동,121-4,121,4,오벨리스크,20.39,202009,18,"10,300",3,-,-,2002,증가로 33,-,-,-
31,서울특별시 서대문구 연희동,218-11,218,11,THE연희힐,18.92,202009,10,"22,000",6,-,-,2018,동교로 296-42,-,-,-
32,서울특별시 서대문구 연희동,142-21,142,21,연희미다스파크,39.62,202009,5,"27,799",3,-,-,2019,연희로 233,-,-,-
33,서울특별시 서대문구 연희동,340-27,340,27,현대싱그런,115.53,202008,29,"75,000",11,-,-,2007,성산로 371,-,-,-
34,서울특별시 서대문구 연희동,103-7,103,7,스페이스엠,19.01,202008,28,"10,300",4,-,-,2005,증가로 52,-,-,-
35,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤 연희,97.65,202008,22,"56,500",12,-,-,2007,연희로 82,-,-,-
36,서울특별시 서대문구 연희동,76-24,76,24,(76-24),25.73,202008,21,"10,700",7,-,-,2002,연희로 188-1,-,-,-
37,서울특별시 서대문구 연희동,340-27,340,27,현대싱그런,86.17,202008,19,"56,800",8,-,-,2007,성산로 371,-,-,-
38,서울특별시 서대문구 연희동,218-1,218,1,연희체스트빌,16.83,202008,13,"12,500",5,-,-,2005,연희로 63,-,-,-
39,서울특별시 서대문구 연희동,212-2,212,2,연희소프트빌,16.2,202007,27,"10,800",6,-,-,2001,연희로 60,-,-,-
40,서울특별시 서대문구 연희동,103-7,103,7,스페이스엠,19.01,202007,27,"11,000",4,-,-,2005,증가로 52,20200827,-,-
41,서울특별시 서대문구 연희동,340-27,340,27,현대싱그런,115.53,202007,25,"74,500",11,-,-,2007,성산로 371,-,-,-
42,서울특별시 서대문구 연희동,142-21,142,21,연희미다스파크,34.24,202007,18,"23,399",4,-,-,2019,연희로 233,-,-,-
43,서울특별시 서대문구 연희동,142-21,142,21,연희미다스파크,34.24,202007,17,"23,399",3,-,-,2019,연희로 233,-,-,-
44,서울특별시 서대문구 연희동,340-27,340,27,현대싱그런,86.17,202006,27,"45,000",1,-,-,2007,성산로 371,-,-,-
45,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤 연희,31.96,202006,26,"22,000",4,-,-,2007,연희로 82,-,-,-
46,서울특별시 서대문구 연희동,142-21,142,21,연희미다스파크,34.24,202006,26,"23,399",5,-,-,2019,연희로 233,-,-,-
47,서울특별시 서대문구 연희동,142-21,142,21,연희미다스파크,33.79,202006,24,"23,399",2,-,-,2019,연희로 233,-,-,-
48,서울특별시 서대문구 연희동,218-11,218,11,THE연희힐,18.92,202006,20,"22,800",6,-,-,2018,동교로 296-42,-,-,-
49,서울특별시 서대문구 연희동,121-4,121,4,오벨리스크,20.39,202006,16,"9,000",3,-,-,2002,증가로 33,-,-,-
50,서울특별시 서대문구 연희동,218-1,218,1,연희체스트빌,16.83,202006,6,"12,950",4,-,-,2005,연희로 63,-,-,-
51,서울특별시 서대문구 연희동,121-4,121,4,오벨리스크,20.39,202006,5,"9,500",3,-,-,2002,증가로 33,-,-,-
52,서울특별시 서대문구 연희동,340-27,340,27,현대싱그런,86.17,202005,22,"48,500",7,-,-,2007,성산로 371,-,-,-
53,서울특별시 서대문구 연희동,340-27,340,27,현대싱그런,115.53,202005,21,"64,200",8,-,-,2007,성산로 371,-,-,-
54,서울특별시 서대문구 연희동,142-21,142,21,연희미다스파크,33.79,202005,19,"24,558",6,-,-,2019,연희로 233,-,-,-
55,서울특별시 서대문구 연희동,142-21,142,21,연희미다스파크,33.79,202005,13,"23,399",3,-,-,2019,연희로 233,-,-,-
56,서울특별시 서대문구 연희동,142-21,142,21,연희미다스파크,33.79,202005,8,"23,399",4,-,-,2019,연희로 233,-,-,-
57,서울특별시 서대문구 연희동,122-3,122,3,정연 지오빌,36.0,202004,29,"18,000",2,-,-,2002,증가로 15-1,-,-,-
58,서울특별시 서대문구 연희동,193-9,193,9,(193-9),29.01,202004,28,"18,703",3,-,-,2020,연희맛로 2-7,-,-,-
