NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,서울특별시 서대문구 연희동,88-11,88,11,정연지오빌ll,22.23,202112,25,"12,500",4,-,-,2003,연희로 128,-,중개거래,서울 서대문구
2,서울특별시 서대문구 연희동,212-2,212,2,연희소프트빌,16.2,202112,10,"8,900",6,-,-,2001,연희로 60,-,중개거래,서울 서대문구
3,서울특별시 서대문구 연희동,218-1,218,1,연희체스트빌,16.83,202112,9,"12,500",7,-,-,2005,연희로 63,-,중개거래,서울 서대문구
4,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤 연희,28.79,202110,14,"20,300",4,-,-,2007,연희로 82,-,-,-
5,서울특별시 서대문구 연희동,88-11,88,11,정연지오빌ll,30.03,202110,7,"16,300",6,-,-,2003,연희로 128,-,-,-
6,서울특별시 서대문구 연희동,142-21,142,21,연희미다스파크,26.67,202110,5,"20,800",3,-,-,2019,연희로 233,-,-,-
7,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤 연희,28.79,202110,1,"20,500",4,-,-,2007,연희로 82,-,-,-
8,서울특별시 서대문구 연희동,122-3,122,3,정연 지오빌,19.44,202109,17,"12,000",6,-,-,2002,증가로 15-1,-,-,-
9,서울특별시 서대문구 연희동,88-11,88,11,정연지오빌ll,22.23,202109,6,"14,900",6,-,-,2003,연희로 128,-,-,-
10,서울특별시 서대문구 연희동,103-7,103,7,스페이스엠,19.01,202109,1,"9,800",3,-,-,2005,증가로 52,-,-,-
11,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤 연희,31.96,202109,1,"21,600",4,-,-,2007,연희로 82,-,-,-
12,서울특별시 서대문구 연희동,122-3,122,3,정연 지오빌,19.44,202108,20,"12,000",6,-,-,2002,증가로 15-1,20210917,-,-
13,서울특별시 서대문구 연희동,340-27,340,27,현대싱그런,115.53,202108,14,"83,500",6,-,-,2007,성산로 371,-,-,-
14,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤 연희,116.81,202107,21,"67,000",7,-,-,2007,연희로 82,-,-,-
15,서울특별시 서대문구 연희동,80-7,80,7,파라다이스텔에스비,15.94,202107,19,"10,200",8,-,-,2003,연희로 158,-,-,-
16,서울특별시 서대문구 연희동,121-4,121,4,오벨리스크,20.39,202107,2,"10,000",2,-,-,2002,증가로 33,-,-,-
17,서울특별시 서대문구 연희동,121-4,121,4,오벨리스크,20.39,202106,28,"11,000",2,-,-,2002,증가로 33,-,-,-
18,서울특별시 서대문구 연희동,340-27,340,27,현대싱그런,115.53,202106,10,"80,000",5,-,-,2007,성산로 371,-,-,-
19,서울특별시 서대문구 연희동,340-27,340,27,현대싱그런,115.53,202106,1,"83,000",10,-,-,2007,성산로 371,-,-,-
20,서울특별시 서대문구 연희동,340-27,340,27,현대싱그런,115.53,202106,1,"81,000",7,-,-,2007,성산로 371,-,-,-
21,서울특별시 서대문구 연희동,218-11,218,11,THE연희힐,18.92,202105,29,"23,000",5,-,-,2018,동교로 296-42,-,-,-
22,서울특별시 서대문구 연희동,122-3,122,3,정연 지오빌,19.44,202105,11,"10,600",6,-,-,2002,증가로 15-1,-,-,-
23,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤 연희,64.41,202105,10,"43,800",12,-,-,2007,연희로 82,-,-,-
24,서울특별시 서대문구 연희동,103-7,103,7,스페이스엠,19.01,202105,5,"9,700",3,-,-,2005,증가로 52,-,-,-
25,서울특별시 서대문구 연희동,218-11,218,11,THE연희힐,18.92,202105,3,"23,000",5,-,-,2018,동교로 296-42,-,-,-
26,서울특별시 서대문구 연희동,103-7,103,7,스페이스엠,19.01,202104,16,"9,700",3,-,-,2005,증가로 52,-,-,-
27,서울특별시 서대문구 연희동,103-7,103,7,스페이스엠,19.01,202104,16,"10,000",5,-,-,2005,증가로 52,-,-,-
28,서울특별시 서대문구 연희동,212-2,212,2,연희소프트빌,16.2,202104,14,"10,000",5,-,-,2001,연희로 60,-,-,-
29,서울특별시 서대문구 연희동,103-7,103,7,스페이스엠,19.01,202103,13,"10,000",5,-,-,2005,증가로 52,20210416,-,-
30,서울특별시 서대문구 연희동,103-7,103,7,스페이스엠,19.01,202103,13,"10,000",3,-,-,2005,증가로 52,-,-,-
31,서울특별시 서대문구 연희동,122-3,122,3,정연 지오빌,19.44,202102,26,"10,400",3,-,-,2002,증가로 15-1,-,-,-
32,서울특별시 서대문구 연희동,218-1,218,1,연희체스트빌,16.83,202102,25,"12,300",3,-,-,2005,연희로 63,-,-,-
33,서울특별시 서대문구 연희동,212-2,212,2,연희소프트빌,16.2,202102,23,"9,800",6,-,-,2001,연희로 60,-,-,-
34,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤 연희,31.96,202102,9,"21,200",6,-,-,2007,연희로 82,-,-,-
35,서울특별시 서대문구 연희동,122-3,122,3,정연 지오빌,19.44,202102,2,"10,600",2,-,-,2002,증가로 15-1,-,-,-
36,서울특별시 서대문구 연희동,212-2,212,2,연희소프트빌,16.2,202101,25,"9,700",5,-,-,2001,연희로 60,-,-,-
37,서울특별시 서대문구 연희동,78-4,78,4,시아 루비움,19.25,202101,13,"11,500",7,-,-,2004,연희로 183,-,-,-
38,서울특별시 서대문구 연희동,78-4,78,4,시아 루비움,18.7,202101,9,"9,850",8,-,-,2004,연희로 183,-,-,-
