NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,서울특별시 서대문구 연희동,1**,단독,8m미만,198.15,164.6,202212,1,"200,000",-,-,1969,연희맛로,-,중개거래,서울 마포구
2,서울특별시 서대문구 연희동,1**,다가구,8m미만,410.29,234.0,202210,17,"208,000",-,-,1995,연희로10길,-,중개거래,서울 서초구
3,서울특별시 서대문구 연희동,1**,단독,8m미만,224.46,333.9,202209,22,"345,000",-,-,1979,연희로15길,-,중개거래,서울 서대문구
4,서울특별시 서대문구 연희동,1**,단독,12m미만,163.65,106.0,202209,21,"88,500",-,-,1980,홍제천로,-,중개거래,서울 서대문구
5,서울특별시 서대문구 연희동,1**,다가구,8m미만,262.72,178.8,202209,14,"165,000",-,-,2003,연희맛로,-,중개거래,경기 고양일산서구
6,서울특별시 서대문구 연희동,4**,단독,8m미만,185.45,208.0,202209,5,"163,000",-,-,1985,성산로9길,-,중개거래,서울 서대문구
7,서울특별시 서대문구 연희동,4**,단독,8m미만,237.42,486.0,202209,1,"279,000",-,-,1973,성산로9길,-,중개거래,서울 서대문구
8,서울특별시 서대문구 연희동,7*,단독,8m미만,135.87,125.6,202207,4,"133,000",-,-,1971,연희로24길,-,중개거래,서울 서대문구
9,서울특별시 서대문구 연희동,2**,단독,8m미만,373.79,373.0,202207,1,"320,000",-,-,1997,연희로27나길,-,중개거래,서울 서대문구
10,서울특별시 서대문구 연희동,4*,다가구,8m미만,194.99,132.0,202206,30,"79,110",-,-,1996,연희로14길,-,중개거래,서울 서대문구
11,서울특별시 서대문구 연희동,4*,단독,8m미만,62.14,132.0,202206,30,"64,140",-,-,1984,연희로14길,-,중개거래,서울 서대문구
12,서울특별시 서대문구 연희동,3**,단독,8m미만,219.52,199.0,202206,29,"132,000",-,-,1984,성산로17길,-,중개거래,서울 서대문구
13,서울특별시 서대문구 연희동,1**,단독,8m미만,255.79,367.0,202206,24,"265,000",-,-,1978,연희로29길,-,중개거래,서울 서대문구
14,서울특별시 서대문구 연희동,1**,다가구,8m미만,240.63,166.3,202206,22,"188,000",-,-,1995,연희로11길,-,중개거래,서울 마포구
15,서울특별시 서대문구 연희동,7**,단독,8m미만,207.87,74.9,202206,17,"25,000",-,-,1997,홍연길,-,직거래,-
16,서울특별시 서대문구 연희동,6*,단독,8m미만,130.25,171.4,202206,16,"112,000",-,-,1981,연희로20길,-,중개거래,서울 마포구
17,서울특별시 서대문구 연희동,3**,다가구,8m미만,484.57,219.0,202205,31,"270,000",-,-,2002,연희로4길,-,중개거래,서울 마포구
18,서울특별시 서대문구 연희동,1**,단독,8m미만,326.16,343.8,202205,30,"340,000",-,-,1971,연희로15길,-,중개거래,서울 서대문구
19,서울특별시 서대문구 연희동,1**,단독,8m미만,260.17,333.9,202205,27,"330,000",-,-,1978,연희로15안길,-,중개거래,서울 서대문구
20,서울특별시 서대문구 연희동,1**,단독,8m미만,179.56,253.9,202205,21,"210,000",-,-,1970,연희로11바길,-,중개거래,서울 마포구
21,서울특별시 서대문구 연희동,9*,단독,8m미만,251.73,323.9,202205,20,"180,000",-,-,1973,연희로27다길,-,직거래,-
22,서울특별시 서대문구 연희동,3**,다가구,8m미만,249.6,192.0,202205,10,"110,000",-,-,1991,연희로10가길,-,중개거래,서울 서대문구
23,서울특별시 서대문구 연희동,1**,다가구,8m미만,318.72,126.9,202205,9,"126,700",-,-,1997,연희로8길,-,중개거래,서울 마포구
24,서울특별시 서대문구 연희동,1**,단독,8m미만,331.85,241.0,202203,30,"250,000",-,-,2021,연희로11아길,-,직거래,-
25,서울특별시 서대문구 연희동,4**,단독,8m미만,33.05,40.0,202203,21,"30,000",-,-,1999,성산로13길,-,중개거래,서울 서대문구
26,서울특별시 서대문구 연희동,1**,단독,8m미만,162.28,292.2,202202,10,"320,000",-,-,1974,연희로15안길,-,중개거래,서울 서대문구
27,서울특별시 서대문구 연희동,3**,단독,8m미만,75.83,103.0,202201,26,"55,500",-,-,1969,성산로18길,-,중개거래,서울 마포구
28,서울특별시 서대문구 연희동,2*,단독,8m미만,46.28,116.0,202201,18,"53,000",-,-,1999,연희로10길,-,중개거래,서울 서대문구
29,서울특별시 서대문구 연희동,1**,단독,8m미만,331.85,241.0,202201,10,"250,000",-,-,2021,연희로11아길,20220426,중개거래,서울 서대문구
