NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
1,서울특별시 서대문구 연희동,723-9,723,9,홍연(723-9),월세,52.23,202212,31,500,30,2,1981,홍연6길 40,-,-,-,,,아파트
2,서울특별시 서대문구 연희동,739,739,0,대우푸르지오,월세,84.706,202212,29,"10,000",180,14,2002,연희로 38-20,202302~202502,신규,-,,,아파트
3,서울특별시 서대문구 연희동,747,747,0,연희파크푸르지오,전세,59.9835,202212,29,"42,000",0,13,2018,홍제천로 136,202302~202502,신규,-,,,아파트
4,서울특별시 서대문구 연희동,740,740,0,성원,전세,84.95,202212,28,"45,000",0,6,2001,연희로32길 48,202212~202412,신규,-,,,아파트
5,서울특별시 서대문구 연희동,739,739,0,대우푸르지오,월세,114.705,202212,28,"15,000",170,7,2002,연희로 38-20,202212~202412,갱신,-,"12,000",150.0,아파트
6,서울특별시 서대문구 연희동,745,745,0,연희자이엘라,월세,13.642,202212,27,"10,000",15,11,2014,연희로5길 14,202301~202501,갱신,-,"6,000",35.0,아파트
7,서울특별시 서대문구 연희동,745,745,0,연희자이엘라,월세,13.642,202212,24,"1,000",68,4,2014,연희로5길 14,202302~202502,신규,-,,,아파트
8,서울특별시 서대문구 연희동,740,740,0,성원,월세,115.06,202212,24,"50,000",90,9,2001,연희로32길 48,202303~202503,신규,-,,,아파트
9,서울특별시 서대문구 연희동,745,745,0,연희자이엘라,월세,13.642,202212,23,"1,000",70,4,2014,연희로5길 14,202302~202502,신규,-,,,아파트
10,서울특별시 서대문구 연희동,747,747,0,연희파크푸르지오,전세,84.8003,202212,22,"48,000",0,10,2018,홍제천로 136,202302~202502,신규,-,,,아파트
11,서울특별시 서대문구 연희동,746,746,0,연희웨스트팰리스,월세,13.12,202212,22,500,65,7,2014,연희로5길 54-11,202212~202306,신규,-,,,아파트
12,서울특별시 서대문구 연희동,739,739,0,대우푸르지오,월세,84.706,202212,21,"40,000",33,16,2002,연희로 38-20,202212~202412,갱신,-,"40,000",25.0,아파트
13,서울특별시 서대문구 연희동,745,745,0,연희자이엘라,월세,13.642,202212,21,"1,000",70,5,2014,연희로5길 14,202302~202402,신규,-,,,아파트
14,서울특별시 서대문구 연희동,700,700,0,대림,전세,119.49,202212,20,"30,000",0,5,1993,연희로32길 20,202212~202412,신규,-,,,아파트
15,서울특별시 서대문구 연희동,739,739,0,대우푸르지오,월세,114.705,202212,20,"50,000",42,14,2002,연희로 38-20,202303~202503,신규,-,,,아파트
16,서울특별시 서대문구 연희동,747,747,0,연희파크푸르지오,월세,59.9835,202212,17,"40,000",25,17,2018,홍제천로 136,202302~202502,갱신,-,"37,800",0.0,아파트
17,서울특별시 서대문구 연희동,746,746,0,연희웨스트팰리스,월세,26.88,202212,16,"1,000",115,11,2014,연희로5길 54-11,202212~202312,신규,-,,,아파트
18,서울특별시 서대문구 연희동,151-41,151,41,금보,월세,82.84,202212,16,"3,000",124,2,2004,연희로31길 14,-,갱신,사용,"3,000",120.0,아파트
19,서울특별시 서대문구 연희동,745,745,0,연희자이엘라,월세,13.642,202212,16,"1,000",68,6,2014,연희로5길 14,202302~202402,신규,-,,,아파트
20,서울특별시 서대문구 연희동,723-9,723,9,홍연(723-9),전세,40.33,202212,14,"10,500",0,5,1981,홍연6길 40,-,갱신,-,"9,500",0.0,아파트
21,서울특별시 서대문구 연희동,747,747,0,연희파크푸르지오,전세,84.4317,202212,14,"50,000",0,9,2018,홍제천로 136,202303~202503,신규,-,,,아파트
22,서울특별시 서대문구 연희동,746,746,0,연희웨스트팰리스,월세,13.12,202212,13,"1,000",65,2,2014,연희로5길 54-11,202302~202501,신규,-,,,아파트
23,서울특별시 서대문구 연희동,745,745,0,연희자이엘라,월세,13.642,202212,12,"1,000",60,4,2014,연희로5길 14,202302~202402,신규,-,,,아파트
24,서울특별시 서대문구 연희동,746,746,0,연희웨스트팰리스,월세,13.12,202212,10,"1,000",61,7,2014,연희로5길 54-11,202302~202402,신규,-,,,아파트
25,서울특별시 서대문구 연희동,747,747,0,연희파크푸르지오,전세,112.8619,202212,10,"79,000",0,7,2018,홍제천로 136,202302~202502,신규,-,,,아파트
26,서울특별시 서대문구 연희동,745,745,0,연희자이엘라,월세,13.642,202212,10,"1,000",65,9,2014,연희로5길 14,202301~202401,신규,-,,,아파트
27,서울특별시 서대문구 연희동,747,747,0,연희파크푸르지오,전세,59.9835,202212,8,"52,000",0,12,2018,홍제천로 136,202301~202501,갱신,사용,"60,000",0.0,아파트
28,서울특별시 서대문구 연희동,740,740,0,성원,월세,84.95,202212,7,"10,000",155,3,2001,연희로32길 48,202301~202501,신규,-,,,아파트
29,서울특별시 서대문구 연희동,708-4,708,4,홍연,월세,70.74,202212,5,"18,000",20,2,1981,홍연8길 7,202301~202501,신규,-,,,아파트
30,서울특별시 서대문구 연희동,738,738,0,임광,전세,59.96,202212,4,"40,000",0,15,1999,동교로 291,202302~202502,신규,-,,,아파트
31,서울특별시 서대문구 연희동,745,745,0,연희자이엘라,월세,13.642,202212,3,"4,000",53,2,2014,연희로5길 14,202302~202402,신규,-,,,아파트
32,서울특별시 서대문구 연희동,723-9,723,9,홍연(723-9),전세,52.23,202211,29,"16,000",0,3,1981,홍연6길 40,202212~202412,신규,-,,,아파트
33,서울특별시 서대문구 연희동,747,747,0,연희파크푸르지오,전세,84.1861,202211,28,"55,000",0,12,2018,홍제천로 136,202303~202503,신규,-,,,아파트
34,서울특별시 서대문구 연희동,747,747,0,연희파크푸르지오,전세,84.1861,202211,28,"55,000",0,12,2018,홍제천로 136,202303~202503,신규,-,,,아파트
35,서울특별시 서대문구 연희동,745,745,0,연희자이엘라,월세,13.642,202211,26,"1,000",70,6,2014,연희로5길 14,202302~202402,신규,-,,,아파트
36,서울특별시 서대문구 연희동,745,745,0,연희자이엘라,월세,13.642,202211,26,"1,000",70,6,2014,연희로5길 14,202302~202402,신규,-,,,아파트
37,서울특별시 서대문구 연희동,745,745,0,연희자이엘라,월세,13.642,202211,23,"1,000",63,2,2014,연희로5길 14,202212~202312,신규,-,,,아파트
38,서울특별시 서대문구 연희동,745,745,0,연희자이엘라,월세,13.642,202211,19,"1,000",68,4,2014,연희로5길 14,202212~202312,신규,-,,,아파트
39,서울특별시 서대문구 연희동,747,747,0,연희파크푸르지오,전세,84.4317,202211,19,"65,000",0,17,2018,홍제천로 136,-,-,-,,,아파트
40,서울특별시 서대문구 연희동,747,747,0,연희파크푸르지오,전세,84.4317,202211,19,"65,000",0,17,2018,홍제천로 136,202302~202502,신규,-,,,아파트
