NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 서대문구 연희동,437-13,437,13,신동아하우스,74.13,40.77,202212,21,"41,000",1,-,-,1992,연희로11마길 27,-,중개거래,서울 마포구 서울 서대문구,-
2,서울특별시 서대문구 연희동,170-161,170,161,(170-161),59.92,36.7509,202212,17,"32,000",2,-,-,2011,연희로35길 22,-,중개거래,서울 서대문구,-
3,서울특별시 서대문구 연희동,344-24,344,24,연희궁빌딩,19.47,8.14,202212,2,"9,200",2,-,-,2002,성산로17길 7,-,중개거래,서울 서대문구,-
4,서울특별시 서대문구 연희동,344-24,344,24,연희궁빌딩,20.4,8.53,202212,2,"9,300",2,-,-,2002,성산로17길 7,-,중개거래,서울 서대문구,-
5,서울특별시 서대문구 연희동,220-52,220,52,진연빌라,61.11,33.8,202211,26,"29,500",3,-,-,1995,성산로 318-7,-,중개거래,서울 서대문구,-
6,서울특별시 서대문구 연희동,344-24,344,24,연희궁빌딩,24.88,10.41,202211,24,"9,500",3,-,-,2002,성산로17길 7,-,중개거래,서울 서대문구,-
7,서울특별시 서대문구 연희동,613-3,613,3,회룡빌라,59.76,27.23,202211,11,"20,400",1,-,-,1999,홍제천로4길 40,-,중개거래,서울 마포구,-
8,서울특별시 서대문구 연희동,151-64,151,64,리치에비뉴,53.37,26.5,202210,27,"33,000",5,-,-,2016,연희로31길 30-12,-,직거래,-,-
9,서울특별시 서대문구 연희동,432-7,432,7,우방빌라,31.24,20.397,202210,27,"12,000",-1,-,-,1993,성산로 329-6,-,중개거래,서울 서대문구,-
10,서울특별시 서대문구 연희동,79-30,79,30,D&Dhouse,29.65,15.31,202210,20,"34,900",4,-,-,2022,연희로 168,-,직거래,-,-
11,서울특별시 서대문구 연희동,79-30,79,30,D&Dhouse,28.71,14.83,202210,20,"34,100",5,-,-,2022,연희로 168,-,직거래,-,-
12,서울특별시 서대문구 연희동,79-30,79,30,D&Dhouse,29.65,15.31,202210,20,"34,750",3,-,-,2022,연희로 168,-,직거래,-,-
13,서울특별시 서대문구 연희동,79-30,79,30,D&Dhouse,29.19,15.07,202210,20,"34,750",4,-,-,2022,연희로 168,-,직거래,-,-
14,서울특별시 서대문구 연희동,79-30,79,30,D&Dhouse,28.71,14.83,202210,20,"33,650",3,-,-,2022,연희로 168,-,직거래,-,-
15,서울특별시 서대문구 연희동,79-30,79,30,D&Dhouse,29.19,15.07,202210,20,"34,550",3,-,-,2022,연희로 168,-,직거래,-,-
16,서울특별시 서대문구 연희동,79-30,79,30,D&Dhouse,29.19,15.07,202210,20,"34,550",6,-,-,2022,연희로 168,-,직거래,-,-
17,서울특별시 서대문구 연희동,79-30,79,30,D&Dhouse,28.71,14.83,202210,20,"33,800",4,-,-,2022,연희로 168,-,직거래,-,-
18,서울특별시 서대문구 연희동,79-30,79,30,D&Dhouse,28.81,14.88,202210,20,"34,200",4,-,-,2022,연희로 168,-,직거래,-,-
19,서울특별시 서대문구 연희동,79-30,79,30,D&Dhouse,28.81,14.88,202210,20,"34,050",3,-,-,2022,연희로 168,-,직거래,-,-
20,서울특별시 서대문구 연희동,79-30,79,30,D&Dhouse,29.19,15.07,202210,20,"34,850",5,-,-,2022,연희로 168,-,직거래,-,-
21,서울특별시 서대문구 연희동,79-30,79,30,D&Dhouse,28.81,14.88,202210,20,"34,350",5,-,-,2022,연희로 168,-,직거래,-,-
22,서울특별시 서대문구 연희동,79-30,79,30,D&Dhouse,28.71,14.83,202210,20,"33,650",6,-,-,2022,연희로 168,-,직거래,-,-
23,서울특별시 서대문구 연희동,79-30,79,30,D&Dhouse,28.81,14.88,202210,20,"34,050",6,-,-,2022,연희로 168,-,직거래,-,-
24,서울특별시 서대문구 연희동,79-30,79,30,D&Dhouse,29.65,15.31,202210,20,"34,750",6,-,-,2022,연희로 168,-,직거래,-,-
25,서울특별시 서대문구 연희동,79-30,79,30,D&Dhouse,29.65,15.31,202210,20,"35,050",5,-,-,2022,연희로 168,-,직거래,-,-
26,서울특별시 서대문구 연희동,1-105,1,105,기단빌라비동,36.0,27.84,202210,17,"7,000",-1,-,-,1991,모래내로20길 24-4,20221212,중개거래,서울 서대문구,-
27,서울특별시 서대문구 연희동,151-64,151,64,리치에비뉴,53.37,26.5,202210,11,"31,500",4,-,-,2016,연희로31길 30-12,-,직거래,-,-
28,서울특별시 서대문구 연희동,100-3,100,3,보민아스트로,47.33,30.73,202210,3,"54,000",3,-,-,2022,증가로2길 25,20221006,직거래,-,-
