NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 서대문구 연희동,723-19,723,19,목련빌라가동,38.91,28.25,202312,27,"30,700",1,-,-,1986,홍연6안길 12-7,-,중개거래,서울 서대문구,-
2,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤연희,12.77,5.552,202312,27,"12,000",3,-,-,2007,연희로 82,-,직거래,-,-
3,서울특별시 서대문구 연희동,170-129,170,129,홍연하이츠빌,52.32,30.61,202312,26,"23,350",5,-,-,2008,홍제천로 174-14,-,중개거래,서울 서대문구,-
4,서울특별시 서대문구 연희동,136-31,136,31,제니더플래인,29.46,14.111,202312,23,"35,000",4,-,-,2019,연희로14길 6,-,중개거래,서울 마포구,-
5,서울특별시 서대문구 연희동,350-2,350,2,(350-2),58.44,28.74,202312,22,"22,350",-1,-,-,1994,연희로4길 13-19,-,직거래,-,-
6,서울특별시 서대문구 연희동,219-15,219,15,(219-15),44.37,32.24,202312,19,"20,000",2,-,-,1986,연희로5길 46-7,-,직거래,-,-
7,서울특별시 서대문구 연희동,519-79,519,79,(519-79),39.98,17.75,202312,19,"17,000",2,-,-,1996,홍제천로4길 18-12,-,중개거래,서울 서대문구,-
8,서울특별시 서대문구 연희동,45-23,45,23,연희현대빌라(1동~3동),129.43,140.42,202312,9,"70,000",1,-,-,1994,연희로12길 54,-,직거래,-,-
9,서울특별시 서대문구 연희동,724-9,724,9,연궁연립,66.78,40.3479,202312,5,"32,000",1,-,-,1980,가좌로 15,-,직거래,-,-
10,서울특별시 서대문구 연희동,106-24,106,24,예실홈타운,96.33,53.74,202312,2,"48,800",4,-,-,2003,연희로15길 134,-,중개거래,서울 서대문구,-
11,서울특별시 서대문구 연희동,106-24,106,24,예실홈타운,96.33,53.74,202312,2,"48,800",4,-,-,2003,연희로15길 134,20240123,중개거래,서울 서대문구,-
12,서울특별시 서대문구 연희동,437-43,437,43,에이치플러스,42.06,24.0,202311,25,"35,500",1,-,-,2017,연희로11마길 47-3,-,직거래,-,-
13,서울특별시 서대문구 연희동,305-23,305,23,연희하이빌(305-23),45.2,35.134,202311,24,"26,000",2,-,-,2016,연희로10길 29-14,-,직거래,-,-
14,서울특별시 서대문구 연희동,87-11,87,11,(87-11),49.14,42.36,202311,24,"18,900",-1,-,-,1987,연희로20길 15-34,-,중개거래,서울 서대문구,-
15,서울특별시 서대문구 연희동,78-16,78,16,낙원빌라,131.47,85.525,202311,21,"84,000",1,-,-,1997,연희로27길 33,-,중개거래,서울 서대문구,-
16,서울특별시 서대문구 연희동,541-7,541,7,우성빌라,37.03,12.2,202311,17,"14,500",4,-,-,2001,홍제천로2길 30-25,-,중개거래,서울 서대문구,-
17,서울특별시 서대문구 연희동,219-15,219,15,(219-15),44.37,32.24,202311,16,"19,600",2,-,-,1986,연희로5길 46-7,-,중개거래,서울 서대문구,-
18,서울특별시 서대문구 연희동,168,168,0,삼성빌라,82.17,102.53,202311,14,"64,000",1,-,-,1986,연희로36길 27,-,중개거래,서울 서대문구,-
19,서울특별시 서대문구 연희동,520-144,520,144,유지빌,36.04,18.36,202311,9,"13,000",2,-,-,1998,홍제천로2길 108-13,-,중개거래,서울 마포구,-
20,서울특별시 서대문구 연희동,48-11,48,11,블레어빌,50.11,30.0,202311,2,"47,000",3,-,-,2018,연희로16길 26-9,-,중개거래,서울 서대문구,-
21,서울특별시 서대문구 연희동,344-24,344,24,연희궁빌딩,21.84,9.14,202310,30,"9,700",3,-,-,2002,성산로17길 7,-,중개거래,서울 서대문구,-
22,서울특별시 서대문구 연희동,724-9,724,9,연궁연립,66.78,40.3479,202310,29,"34,500",2,-,-,1980,가좌로 15,-,중개거래,서울 서대문구,-
23,서울특별시 서대문구 연희동,613-3,613,3,회룡빌라,59.88,27.29,202310,20,"26,500",2,-,-,1999,홍제천로4길 40,-,중개거래,서울 서대문구,-
24,서울특별시 서대문구 연희동,1-60,1,60,별장아트빌라,78.48,43.31,202310,14,"30,000",3,-,-,2000,모래내로20길 46-12,-,중개거래,서울 서대문구,-
25,서울특별시 서대문구 연희동,200-120,200,120,연희파크(200-120),65.13,77.11,202310,11,"34,000",1,-,-,1991,연희로29길 40-22,-,중개거래,서울 서대문구,-
26,서울특별시 서대문구 연희동,170-119,170,119,2차엠티빌,65.85,31.06,202310,9,"30,500",4,-,-,2002,연희로33길 39,-,중개거래,서울 서대문구,-
27,서울특별시 서대문구 연희동,200-5,200,5,라온채(200-5),137.82,117.6804,202310,7,"200,000",1,-,-,2018,증가로2안길 14-11,-,중개거래,서울 강남구,-
28,서울특별시 서대문구 연희동,724-29,724,29,금창빌라,22.88,14.9801,202310,3,"32,600",5,-,-,2015,연희로31길 34,-,중개거래,서울 서대문구,-
29,서울특별시 서대문구 연희동,715-1,715,1,(715-1),61.85,40.2,202309,27,"30,000",3,-,-,1984,홍연길 72,-,중개거래,서울 서대문구,-
