NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
1,서울특별시 서대문구 연희동,738,738,0,임광,전세,84.83,202112,31,"45,000",0,1,1999,동교로 291,-,갱신,-,"43,000",0.0,아파트
2,서울특별시 서대문구 연희동,747,747,0,연희파크푸르지오,월세,59.9835,202112,30,"13,826",22,5,2018,홍제천로 136,-,신규,-,,,아파트
3,서울특별시 서대문구 연희동,745,745,0,연희자이엘라,월세,13.642,202112,28,500,65,3,2014,연희로5길 14,202112~202212,갱신,-,500,65.0,아파트
4,서울특별시 서대문구 연희동,747,747,0,연희파크푸르지오,월세,59.9835,202112,27,"10,790",37,5,2018,홍제천로 136,-,신규,-,,,아파트
5,서울특별시 서대문구 연희동,747,747,0,연희파크푸르지오,월세,59.9835,202112,27,"13,826",22,2,2018,홍제천로 136,-,신규,-,,,아파트
6,서울특별시 서대문구 연희동,747,747,0,연희파크푸르지오,월세,59.9835,202112,27,"9,786",42,5,2018,홍제천로 136,-,신규,-,,,아파트
7,서울특별시 서대문구 연희동,738,738,0,임광,월세,59.96,202112,27,"10,000",90,13,1999,동교로 291,202201~202401,갱신,사용,"10,000",85.0,아파트
8,서울특별시 서대문구 연희동,75-1,75,1,동도아카데미하우스3차,월세,242.21,202112,27,"50,000",500,3,2001,연희로26나길 21,202112~202312,신규,-,,,아파트
9,서울특별시 서대문구 연희동,218-16,218,16,일진아이윌,전세,64.455,202112,24,"40,000",0,4,2005,동교로 290,202201~202401,신규,-,,,아파트
10,서울특별시 서대문구 연희동,747,747,0,연희파크푸르지오,월세,59.9835,202112,23,"13,826",22,13,2018,홍제천로 136,-,신규,-,,,아파트
11,서울특별시 서대문구 연희동,738,738,0,임광,전세,59.96,202112,23,"45,000",0,16,1999,동교로 291,202202~202402,신규,-,,,아파트
