NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
1,서울특별시 서대문구 연희동,745,745,0,연희자이엘라,월세,13.642,202412,24,"1,000",75,5,2014,연희로5길 14,202502~202602,신규,-,,,아파트
2,서울특별시 서대문구 연희동,740,740,0,성원,월세,59.61,202412,22,"3,000",125,16,2001,연희로32길 48,202502~202702,신규,-,,,아파트
3,서울특별시 서대문구 연희동,742,742,0,성원쌍떼빌팰리스,월세,148.12,202412,21,"40,000",170,13,2005,연희로28길 35-28,202502~202702,신규,-,,,아파트
4,서울특별시 서대문구 연희동,740,740,0,성원,전세,59.61,202412,21,"43,000",0,7,2001,연희로32길 48,202501~202701,신규,-,,,아파트
5,서울특별시 서대문구 연희동,740,740,0,성원,전세,59.61,202412,21,"43,000",0,7,2001,연희로32길 48,202501~202701,신규,-,,,아파트
6,서울특별시 서대문구 연희동,740,740,0,성원,전세,59.61,202412,21,"43,000",0,7,2001,연희로32길 48,202502~202702,신규,-,,,아파트
7,서울특별시 서대문구 연희동,196-1,196,1,연희궁,전세,42.38,202412,20,"8,320",0,2,1972,증가로2길 40-16,202412~202612,갱신,-,"6,250",0.0,아파트
8,서울특별시 서대문구 연희동,196-1,196,1,연희궁,전세,42.38,202412,20,"8,320",0,2,1972,증가로2길 40-16,202412~202612,갱신,-,"6,250",0.0,아파트
9,서울특별시 서대문구 연희동,745,745,0,연희자이엘라,월세,13.642,202412,19,500,75,3,2014,연희로5길 14,202502~202508,갱신,-,500,70.0,아파트
10,서울특별시 서대문구 연희동,746,746,0,연희웨스트팰리스,월세,13.12,202412,18,"1,000",67,5,2014,연희로5길 54-11,202501~202701,신규,-,,,아파트
11,서울특별시 서대문구 연희동,745,745,0,연희자이엘라,월세,13.642,202412,14,"4,000",55,4,2014,연희로5길 14,202502~202602,갱신,-,"4,000",50.0,아파트
12,서울특별시 서대문구 연희동,747,747,0,연희파크푸르지오,전세,84.4317,202412,14,"65,000",0,1,2018,홍제천로 136,202501~202801,신규,-,,,아파트
13,서울특별시 서대문구 연희동,723-9,723,9,홍연(723-9),전세,40.33,202412,13,"11,500",0,5,1981,홍연6길 40,202412~202612,갱신,-,"10,500",0.0,아파트
14,서울특별시 서대문구 연희동,745,745,0,연희자이엘라,월세,13.642,202412,11,"13,700",5,6,2014,연희로5길 14,202501~202701,신규,-,,,아파트
15,서울특별시 서대문구 연희동,745,745,0,연희자이엘라,월세,13.642,202412,11,"13,700",5,6,2014,연희로5길 14,202501~202701,신규,-,,,아파트
16,서울특별시 서대문구 연희동,739,739,0,대우푸르지오,전세,84.706,202412,7,"58,000",0,17,2002,연희로 38-20,202411~202611,갱신,사용,"58,000",0.0,아파트
17,서울특별시 서대문구 연희동,740,740,0,성원,전세,84.95,202412,6,"47,500",0,6,2001,연희로32길 48,202412~202612,갱신,-,"45,200",0.0,아파트
18,서울특별시 서대문구 연희동,745,745,0,연희자이엘라,월세,13.642,202412,4,"1,000",72,3,2014,연희로5길 14,202412~202512,신규,-,,,아파트
19,서울특별시 서대문구 연희동,738,738,0,임광,월세,59.96,202412,3,"23,000",50,17,1999,동교로 291,202501~202701,신규,-,,,아파트
