NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,서울특별시 서대문구 연희동,7*,단독,8m미만,190.42,153.4,202312,1,"130,000",-,-,1992,연희로28길,-,중개거래,서울 서대문구
2,서울특별시 서대문구 연희동,4**,단독,8m미만,163.64,579.0,202311,27,"262,500",-,-,1977,연희로11가길,-,중개거래,서울 서대문구
3,서울특별시 서대문구 연희동,7*,단독,8m미만,123.74,146.8,202311,20,"140,000",-,-,1971,연희로24길,-,중개거래,서울 서대문구
4,서울특별시 서대문구 연희동,7**,단독,8m미만,373.93,241.1,202311,11,"112,500",-,-,1989,홍연4길,-,중개거래,서울 서대문구
5,서울특별시 서대문구 연희동,4**,단독,,213.89,317.0,202311,9,"191,000",-,-,1990,성산로7길,-,직거래,-
6,서울특별시 서대문구 연희동,1**,다가구,8m미만,659.2,309.8,202310,15,"301,250",-,-,1995,연희로14길,-,중개거래,서울 서대문구
7,서울특별시 서대문구 연희동,1**,단독,8m미만,331.85,241.0,202310,13,"190,000",-,-,2021,연희로11아길,-,중개거래,서울 서대문구
8,서울특별시 서대문구 연희동,7**,단독,8m미만,225.16,166.0,202310,8,"100,000",-,-,1987,홍연4길,-,중개거래,서울 서대문구
9,서울특별시 서대문구 연희동,7**,단독,8m미만,193.17,135.1,202308,31,"40,900",-,-,1985,홍연길,-,직거래,-
10,서울특별시 서대문구 연희동,4**,단독,8m미만,271.74,360.0,202308,15,"190,000",-,-,1974,성산로7안길,-,중개거래,서울 서대문구
11,서울특별시 서대문구 연희동,7**,단독,,1283.26,360.0,202307,28,"460,000",-,-,1998,홍제천로,20230831,직거래,-
12,서울특별시 서대문구 연희동,5**,단독,8m미만,76.63,50.0,202304,29,"54,000",-,-,1968,홍제천로2가길,-,중개거래,경기 남양주시 서울 서대문구
13,서울특별시 서대문구 연희동,5**,단독,8m미만,32.4,69.0,202304,10,"51,000",-,-,1967,홍제천로2길,-,중개거래,서울 서대문구
14,서울특별시 서대문구 연희동,4*,다가구,8m미만,67.56,43.0,202304,2,"30,500",-,-,1991,연희로16길,-,직거래,-
15,서울특별시 서대문구 연희동,1**,단독,8m미만,88.86,126.9,202303,20,"130,000",-,-,1990,연희로15길,-,중개거래,서울 서대문구
16,서울특별시 서대문구 연희동,7*,단독,25m미만,188.63,443.6,202303,10,"390,000",-,-,1975,연희로26길,-,중개거래,서울 서대문구
17,서울특별시 서대문구 연희동,4**,단독,8m미만,212.16,350.0,202301,9,"260,000",-,-,1977,연희로11아길,-,중개거래,서울 강남구
