NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,서울특별시 서대문구 연희동,1**,단독,8m미만,315.26,237.7,202412,30,"225,500",개인,개인,1970,연희로11마길,-,직거래,-
2,서울특별시 서대문구 연희동,3**,단독,8m미만,57.32,99.0,202411,27,"87,500",개인,개인,1969,연희로,-,중개거래,서울 서대문구
3,서울특별시 서대문구 연희동,4**,단독,8m미만,94.08,212.0,202411,16,"120,000",개인,개인,1973,연희로11마길,-,중개거래,서울 서대문구
4,서울특별시 서대문구 연희동,4**,다가구,8m미만,287.11,157.0,202411,7,"96,909",개인,법인,2022,성산로7길,-,직거래,-
5,서울특별시 서대문구 연희동,1**,단독,8m미만,292.52,227.4,202411,5,"300,000",법인,개인,2020,연희로11길,-,중개거래,서울 서대문구
6,서울특별시 서대문구 연희동,1**,단독,8m미만,315.26,237.7,202410,31,"225,500",개인,개인,1991,연희로11마길,20241230,직거래,-
7,서울특별시 서대문구 연희동,4**,다가구,8m미만,287.11,157.0,202410,31,"96,909",개인,법인,2022,성산로7길,-,직거래,-
8,서울특별시 서대문구 연희동,6*,다가구,8m미만,633.14,367.0,202410,16,"250,000",법인,개인,1994,연희로16길,-,중개거래,서울 성동구
9,서울특별시 서대문구 연희동,1**,단독,8m미만,286.56,126.0,202409,20,"145,000",개인,개인,1983,홍제천로,-,중개거래,서울 서대문구
10,서울특별시 서대문구 연희동,4**,단독,8m미만,96.52,112.0,202407,26,"105,000",개인,개인,1969,연희로11마길,-,중개거래,서울 서대문구
11,서울특별시 서대문구 연희동,3**,단독,8m미만,139.35,83.0,202407,3,"80,000",개인,개인,1993,연희로10길,-,중개거래,서울 마포구
12,서울특별시 서대문구 연희동,3**,단독,8m미만,149.82,99.0,202407,2,"79,700",개인,개인,1993,성산로16길,-,중개거래,서울 서대문구
13,서울특별시 서대문구 연희동,1**,단독,8m미만,226.95,227.7,202406,25,"230,000",개인,개인,1972,증가로2길,-,중개거래,서울 서대문구
14,서울특별시 서대문구 연희동,4**,다가구,8m미만,197.71,132.0,202406,24,"128,000",개인,개인,2016,연희로11마길,-,중개거래,서울 서대문구
15,서울특별시 서대문구 연희동,3**,다가구,8m미만,202.97,99.0,202406,14,"54,700",개인,개인,1996,성산로16길,-,직거래,-
16,서울특별시 서대문구 연희동,1**,다가구,8m미만,643.86,268.0,202405,17,"250,000",법인,개인,1997,연희로31길,20240814,중개거래,"서울 서대문구, 서울 중랑구"
17,서울특별시 서대문구 연희동,7**,단독,12m미만,212.22,104.4,202404,23,"130,000",개인,개인,1985,홍연길,-,중개거래,서울 서대문구
18,서울특별시 서대문구 연희동,8*,단독,8m미만,200.79,187.1,202404,18,"280,000",개인,개인,1970,연희로27길,-,중개거래,서울 서대문구
19,서울특별시 서대문구 연희동,1**,단독,8m미만,190.75,268.0,202404,8,"160,000",개인,개인,1978,연희로11아길,-,중개거래,서울 서대문구
20,서울특별시 서대문구 연희동,3**,단독,8m미만,75.83,103.0,202403,29,"60,000",개인,법인,1969,성산로18길,-,직거래,-
21,서울특별시 서대문구 연희동,8*,단독,8m미만,203.04,156.7,202403,24,"213,000",개인,개인,1973,연희로27나길,-,중개거래,서울 서대문구
22,서울특별시 서대문구 연희동,5*,단독,,199.2,165.0,202403,18,"75,601",개인,법인,1992,연희로14길,-,직거래,-
23,서울특별시 서대문구 연희동,1**,단독,8m미만,220.98,169.9,202402,27,"190,000",법인,개인,1991,연희로15길,-,중개거래,서울 마포구
24,서울특별시 서대문구 연희동,8*,단독,8m미만,147.73,205.3,202402,7,"210,000",개인,개인,1968,연희로27다길,-,중개거래,서울 서대문구
25,서울특별시 서대문구 연희동,4**,단독,8m미만,78.68,192.0,202401,17,"85,000",개인,개인,1991,연희로11마길,20240306,중개거래,"서울 마포구, 서울 서대문구"
26,서울특별시 서대문구 연희동,4**,단독,8m미만,78.68,192.0,202401,17,"85,000",개인,개인,1971,연희로11마길,-,중개거래,"서울 마포구, 서울 서대문구"
