NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 서대문구 연희동,437-19,437,19,연희동양빌라트,42.02,19.96,202412,27,"27,000",4,개인,개인,1998,연희로11마길 31,20241230,중개거래,서울 서대문구,-
2,서울특별시 서대문구 연희동,437-19,437,19,연희동양빌라트,42.02,298.0,202412,27,"27,000",4,개인,개인,1998,연희로11마길 31,-,중개거래,서울 서대문구,-
3,서울특별시 서대문구 연희동,218-11,218,11,THE연희힐,13.48,7.92,202412,27,"14,684",9,법인,법인,2018,연희로5길 16-13,-,직거래,-,24.12.30
4,서울특별시 서대문구 연희동,218-11,218,11,THE연희힐,13.48,7.92,202412,27,"14,684",9,법인,법인,2018,연희로5길 16-13,-,직거래,-,24.12.30
5,서울특별시 서대문구 연희동,218-11,218,11,THE연희힐,13.48,7.92,202412,27,"14,684",9,법인,법인,2018,연희로5길 16-13,-,직거래,-,24.12.30
6,서울특별시 서대문구 연희동,218-11,218,11,THE연희힐,13.48,7.92,202412,27,"14,684",9,법인,법인,2018,연희로5길 16-13,-,직거래,-,24.12.30
7,서울특별시 서대문구 연희동,218-11,218,11,THE연희힐,13.48,7.92,202412,27,"14,684",9,법인,법인,2018,연희로5길 16-13,-,직거래,-,24.12.30
8,서울특별시 서대문구 연희동,218-11,218,11,THE연희힐,13.48,7.92,202412,27,"14,684",9,법인,법인,2018,연희로5길 16-13,-,직거래,-,24.12.30
9,서울특별시 서대문구 연희동,218-11,218,11,THE연희힐,13.48,7.92,202412,27,"14,684",8,법인,법인,2018,연희로5길 16-13,-,직거래,-,24.12.30
10,서울특별시 서대문구 연희동,218-11,218,11,THE연희힐,13.48,7.92,202412,27,"14,684",8,법인,법인,2018,연희로5길 16-13,-,직거래,-,24.12.30
11,서울특별시 서대문구 연희동,218-11,218,11,THE연희힐,13.48,7.92,202412,27,"14,684",9,법인,법인,2018,연희로5길 16-13,-,직거래,-,24.12.30
12,서울특별시 서대문구 연희동,200-50,200,50,연희파크빌,83.88,82.75,202412,26,"53,000",1,공공기관,개인,2003,증가로2안길 48,-,중개거래,서울 서대문구,24.12.30
13,서울특별시 서대문구 연희동,706-12,706,12,반도아파텔,68.29,37.99,202412,22,"35,700",3,개인,개인,2005,홍연4길 12-2,-,중개거래,서울 서대문구,-
