dealDate,deposit,monthlyRent,calcedRent,buildYear,contractTerm,contractType,excluUseAr,floor,jibun,offiNm,preDeposit,preMonthlyRent,sggCd,sggNm,umdNm,useRRRight
20200102,"9,800",16,0,2006,, ,19.4,5,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20200102,"1,000",70,0,2009,, ,25.35,13,192,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
20200102,"1,000",82,0,2019,, ,16.13,5,90-15,아리움Ⅰ,,,11410,서대문구,대현동, 
20200103,"14,000",0,0,2004,, ,22.54,6,103-6,라이온스톤,,,11410,서대문구,연희동, 
20200103,"1,000",68,0,2017,, ,19.31,3,37-32,영타운 지웰 에스테이트,,,11410,서대문구,대현동, 
20200103,"16,000",0,0,2005,, ,26.34,11,29-81,신촌 르메이에르타운5,,,11410,서대문구,창천동, 
20200103,"5,000",50,0,2009,, ,25.35,17,192,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
20200104,"1,000",70,0,2019,, ,13.78,8,90-15,아리움Ⅰ,,,11410,서대문구,대현동, 
20200104,"3,000",55,0,2017,, ,20.27,7,37-32,영타운 지웰 에스테이트,,,11410,서대문구,대현동, 
20200104,"5,000",50,0,2009,, ,25.35,11,192,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
20200104,"1,000",67,0,2019,, ,13.78,3,90-15,아리움Ⅰ,,,11410,서대문구,대현동, 
20200104,"1,000",70,0,2018,, ,18.31,8,56-10,더가온 오피스텔,,,11410,서대문구,대현동, 
20200104,"4,000",55,0,2009,, ,25.35,15,192,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
20200105,"3,000",48,0,2017,, ,15.06,5,90-44,이대프리젠#2,,,11410,서대문구,대현동, 
20200105,"19,500",0,0,2019,, ,16.13,5,90-15,아리움Ⅰ,,,11410,서대문구,대현동, 
20200106,"15,000",0,0,2017,, ,20.27,3,37-32,영타운 지웰 에스테이트,,,11410,서대문구,대현동, 
20200107,"26,000",0,0,2019,, ,32.7,8,400-3,디에이원파크,,,11410,서대문구,홍은동, 
20200107,"9,800",20,0,2006,, ,22.61,9,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20200107,"19,000",0,0,2014,, ,23.7,18,104-5,신촌푸르지오시티,,,11410,서대문구,대현동, 
