dealDate,deposit,monthlyRent,calcedRent,buildYear,contractTerm,contractType,excluUseAr,floor,jibun,offiNm,preDeposit,preMonthlyRent,sggCd,sggNm,umdNm,useRRRight
20110603,"7,500",20,0,2006,, ,22.61,4,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20110604,"9,800",0,0,2006,, ,22.61,10,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20110605,"2,000",50,0,2004,, ,20.52,5,188-3,(188-3),,,11410,서대문구,연희동, 
20110607,"9,000",0,0,2003,, ,26.03,2,136-7,(136-7),,,11410,서대문구,연희동, 
20110610,"9,500",0,0,2006,, ,19.4,7,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20110610,"1,000",40,0,2002,, ,20.67,5,100-15,브라운 힐,,,11410,서대문구,연희동, 
20110620,"5,000",45,0,2006,, ,29.65,4,90-1,(90-1),,,11410,서대문구,대신동, 
20110625,"3,000",25,0,2004,, ,19.58,3,78-4,시아 루비움,,,11410,서대문구,연희동, 
20110627,"1,000",48,0,2002,, ,20.39,5,121-4,오벨리스크,,,11410,서대문구,연희동, 
20110630,"1,000",60,0,2004,, ,19.38,6,97-64,경선파인 오피스텔,,,11410,서대문구,창천동, 
20110709,"7,000",0,0,2003,, ,22.23,6,88-11,정연지오빌ll,,,11410,서대문구,연희동, 
20110714,"1,000",80,0,2002,, ,36,4,122-3,정연 지오빌,,,11410,서대문구,연희동, 
20110716,"1,000",45,0,2002,, ,25.73,2,76-24,(76-24),,,11410,서대문구,연희동, 
20110718,"14,000",0,0,2009,, ,28.82,19,192,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
20110720,"13,000",0,0,2009,, ,56.12,2,165-2,코지펠리스,,,11410,서대문구,홍은동, 
20110720,"20,000",0,0,2007,, ,115.53,8,340-27,현대싱그런,,,11410,서대문구,연희동, 
20110722,"6,000",40,0,2009,, ,56.12,3,165-2,코지펠리스,,,11410,서대문구,홍은동, 
20110723,"7,000",0,0,2006,, ,19.4,6,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20110728,"8,000",10,0,2003,, ,26.03,6,136-7,(136-7),,,11410,서대문구,연희동, 
20110731,"6,500",30,0,2006,, ,19.4,5,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20110801,"7,500",0,0,2005,11.08~13.08,신규,19.01,5,103-7,스페이스엠,,,11410,서대문구,연희동, 
20110803,500,45,0,2004,, ,22.59,4,328-19,엘림오피스텔,,,11410,서대문구,남가좌동, 
20110809,"7,500",15,0,2003,, ,27.48,7,136-7,(136-7),,,11410,서대문구,연희동, 
20110811,"2,500",15,0,2003,, ,15.84,1,446-270,(446-270),,,11410,서대문구,연희동, 
20110813,"9,000",0,0,2006,11.09~12.09,신규,22.61,7,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20110822,"5,000",0,0,2002,, ,14.11,6,92-7,창천오피스텔,,,11410,서대문구,창천동, 
20110825,"8,500",0,0,2006,, ,19.4,10,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20110827,"6,000",0,0,2002,, ,17.82,6,92-7,창천오피스텔,,,11410,서대문구,창천동, 
20110829,"1,000",55,0,2002,, ,19.61,4,62-48,(62-48),,,11410,서대문구,창천동, 
20110902,"7,000",17,0,2003,, ,26.03,6,136-7,(136-7),,,11410,서대문구,연희동, 
20110909,"1,500",35,0,2004,, ,21.75,6,343-1,선정오피스텔,,,11410,서대문구,북가좌동, 
20110914,"11,500",0,0,2005,, ,28.22,8,27-20,신촌가이아,,,11410,서대문구,대현동, 
20110916,"5,000",0,0,2003,, ,22.95,5,396-24,현상준건물,,,11410,서대문구,홍은동, 
20110923,"5,000",200,0,2007,, ,116.81,8,194-30,브라운스톤 연희,,,11410,서대문구,연희동, 
20110925,"8,000",25,0,2006,, ,22.61,8,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20110930,"14,500",0,0,2009,, ,56.12,8,165-2,코지펠리스,,,11410,서대문구,홍은동, 
20111007,500,45,0,2004,, ,21.75,10,343-1,선정오피스텔,,,11410,서대문구,북가좌동, 
20111010,"15,000",0,0,2009,, ,56.12,5,165-2,코지펠리스,,,11410,서대문구,홍은동, 
20111015,"1,000",50,0,2002,, ,18.5,5,62-48,(62-48),,,11410,서대문구,창천동, 
20111017,"1,000",70,0,2004,, ,24.29,5,45-5,이화인비따레오피스텔,,,11410,서대문구,대현동, 
20111019,"7,700",0,0,2006,, ,19.4,3,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20111031,"1,000",30,0,2003,, ,17.34,5,396-25,동림오벨리스크,,,11410,서대문구,홍은동, 
20111031,"3,000",29,0,2003,, ,24.48,5,396-25,동림오벨리스크,,,11410,서대문구,홍은동, 
20111109,"1,000",45,0,2004,11.11~12.11,신규,21.09,5,343-1,선정오피스텔,,,11410,서대문구,북가좌동, 
20111114,"12,000",0,0,2004,, ,28.08,7,20-41,아남오피스텔,,,11410,서대문구,창천동, 
20111115,"7,000",20,0,2003,, ,25.04,5,136-7,(136-7),,,11410,서대문구,연희동, 
20111116,"8,000",0,0,2004,, ,19.89,3,97-64,경선파인 오피스텔,,,11410,서대문구,창천동, 
20111120,"2,000",60,0,2004,, ,20.52,6,97-64,경선파인 오피스텔,,,11410,서대문구,창천동, 
