dealDate,deposit,monthlyRent,calcedRent,aptNm,buildYear,contractTerm,contractType,excluUseAr,floor,jibun,preDeposit,preMonthlyRent,sggCd,umdNm,useRRRight
20110102,"17,000",0,0,래미안남가좌2차,2005,, ,59.788,1,379,,,11410,남가좌동, 
20110102,"16,000",0,0,홍제한양,1993,, ,60.06,13,82,,,11410,홍제동, 
20110102,"15,000",0,0,신촌럭키,1999,11.01~13.01,신규,59.7,5,144,,,11410,대현동, 
20110102,"15,000",0,0,월드컵현대,1998,, ,59.76,15,371-1,,,11410,북가좌동, 
20110102,"18,000",0,0,홍은동벽산,1997,, ,84.96,6,455,,,11410,홍은동, 
20110102,"19,000",0,0,독립문삼호,1995,, ,75.66,9,100,,,11410,영천동, 
20110103,"17,000",0,0,DMC래미안클라시스,2000,, ,59.97,12,377,,,11410,남가좌동, 
20110103,"18,500",0,0,DMC휴먼빌아파트,2008,11.02~13.02,신규,84.99,3,456,,,11410,북가좌동, 
20110103,"18,000",0,0,두산,1999,, ,59.96,8,1009,,,11410,북아현동, 
20110103,"32,000",0,0,독립문삼호,1995,, ,114.63,3,100,,,11410,영천동, 
20110103,"34,000",0,0,대우푸르지오,2002,, ,114.705,14,739,,,11410,연희동, 
20110103,528,8,0,홍제원현대(459-1),2000,, ,32.67,1,459-1,,,11410,홍제동, 
20110103,"14,000",0,0,풍림2,1990,, ,58.5,11,453-2,,,11410,홍은동, 
20110103,468,8,0,독립문극동(201-0),1998,, ,27,15,201,,,11410,현저동, 
20110103,"32,000",0,0,대림,1993,, ,119.49,3,700,,,11410,연희동, 
20110103,"17,500",0,0,독립문극동(200-0),1998,, ,59.58,1,200,,,11410,현저동, 
20110103,"18,000",0,0,청구2차,1997,, ,59.89,8,453-1,,,11410,홍제동, 
20110103,"36,000",0,0,돈의문센트레빌,2011,, ,84.99,6,261,,,11410,냉천동, 
20110104,"23,000",0,0,홍제한양,1993,, ,84.77,15,82,,,11410,홍제동, 
20110104,"14,000",0,0,유원하나,1996,, ,72.34,10,454,,,11410,홍제동, 
20110104,"27,000",0,0,독립문극동(200-0),1998,, ,84.87,5,200,,,11410,현저동, 
20110104,"2,646",0,0,홍제원현대(459-1),2000,, ,32.67,3,459-1,,,11410,홍제동, 
20110104,"24,000",0,0,남가좌동현대,1999,, ,114.9,14,376,,,11410,남가좌동, 
20110104,"22,000",0,0,독립문극동(200-0),1998,11.01~13.01,신규,59.58,4,200,,,11410,현저동, 
20110104,"16,000",0,0,남가좌동현대,1999,, ,59.4,13,376,,,11410,남가좌동, 
20110105,"30,000",0,0,인왕산한신휴플러스,2009,, ,125.256,5,469,,,11410,홍제동, 
20110105,"21,000",0,0,DMC래미안클라시스,2000,, ,84.9,3,377,,,11410,남가좌동, 
20110105,"5,000",0,0,에스케이뷰,2008,, ,84.909,13,118,,,11410,합동, 
20110105,"23,000",0,0,청구1차,1994,, ,84.78,7,453,,,11410,홍제동, 
20110105,"20,000",0,0,반석블레스,2013,, ,84.92,10,440-1,,,11410,홍은동, 
20110105,"12,000",0,0,태영으뜸(데시앙),1998,, ,46.99,3,373,,,11410,홍제동, 
20110105,"15,000",0,0,럭키힐,2005,, ,84.6,7,312-67,,,11410,홍제동, 
20110105,"19,000",0,0,홍은동풍림아이원,2002,, ,84.918,6,460,,,11410,홍은동, 
20110105,"19,000",0,0,유원하나,1996,, ,103.11,8,454,,,11410,홍제동, 
20110105,"15,000",0,0,럭키힐,2005,, ,84.6,7,312-67,,,11410,홍제동, 
20110105,"16,000",0,0,DMC래미안클라시스,2000,, ,59.97,4,377,,,11410,남가좌동, 
20110105,"18,000",0,0,대우푸르지오,2002,, ,59.584,6,739,,,11410,연희동, 
20110105,"1,500",60,0,원일,1970,, ,68.76,3,294-36,,,11410,홍제동, 
20110106,"10,000",30,0,현대그린,1996,, ,84.96,9,455,,,11410,홍제동, 
20110106,"18,500",0,0,동부센트레빌,2002,, ,84.93,4,260,,,11410,냉천동, 
20110106,"13,200",0,0,태영으뜸(데시앙),1998,, ,59.49,10,373,,,11410,홍제동, 
20110106,"17,500",0,0,두산,1999,, ,59.96,5,1009,,,11410,북아현동, 
20110106,"23,000",0,0,독립문극동(200-0),1998,, ,59.58,2,200,,,11410,현저동, 
20110106,"20,000",0,0,동부센트레빌,2002,, ,59.86,13,260,,,11410,냉천동, 
20110106,"3,000",90,0,인왕산현대,2000,, ,59.93,8,460,,,11410,홍제동, 
20110106,774,11,0,독립문극동(201-0),1998,, ,27,3,201,,,11410,현저동, 
20110106,"25,000",0,0,신촌럭키,1999,, ,83.38,2,144,,,11410,대현동, 
20110106,"17,000",0,0,DMC한양,1987,, ,116.76,7,431,,,11410,북가좌동, 
20110107,"17,000",0,0,남가좌동현대,1999,, ,84.78,8,376,,,11410,남가좌동, 
20110107,"32,000",0,0,독립문삼호,1995,, ,108.63,10,100,,,11410,영천동, 
20110107,"20,000",0,0,DMC두산위브,2007,, ,84.992,4,459,,,11410,북가좌동, 
20110107,"4,000",70,0,독립문파크빌,2000,, ,59.4,8,1019,,,11410,현저동, 
20110107,"27,000",0,0,독립문극동(200-0),1998,, ,84.87,14,200,,,11410,현저동, 
20110107,"13,000",0,0,DMC한양,1987,, ,65.34,7,431,,,11410,북가좌동, 
20110107,"7,000",0,0,인왕궁맨숀,1974,, ,54.02,6,104-6,,,11410,홍제동, 
20110107,"5,000",60,0,독립문파크빌,2000,, ,59.4,2,1019,,,11410,현저동, 
20110108,"15,000",0,0,문화촌현대,2002,, ,59.94,11,463,,,11410,홍제동, 
20110108,"19,500",0,0,래미안남가좌2차,2005,, ,59.788,6,379,,,11410,남가좌동, 
20110108,"11,000",0,0,유원,1987,, ,54.54,13,22,,,11410,홍은동, 
20110108,"18,500",0,0,남양,1999,, ,83.07,9,457,,,11410,홍제동, 
20110108,"4,000",65,0,독립문파크빌,2000,, ,59.4,2,1019,,,11410,현저동, 
20110108,"9,000",90,0,충림예하임,2010,, ,84.6,7,477,,,11410,충정로3가, 
20110108,"12,000",0,0,삼성아트빌,2002,, ,44.48,3,501-14,,,11410,창천동, 
20110108,"2,000",100,0,예스에이피엠,2007,, ,38.72,10,145,,,11410,대현동, 
20110108,"25,000",0,0,홍제원현대(459-0),2000,, ,84.9,17,459,,,11410,홍제동, 
20110108,"20,000",0,0,우민A,2001,, ,84.75,5,1-50,,,11410,북아현동, 
20110108,"20,000",0,0,청구1차,1994,, ,84.78,6,453,,,11410,홍제동, 
20110108,"15,000",0,0,청구3차,2001,, ,59.4,7,462,,,11410,홍제동, 
20110108,"26,000",0,0,성원,2001,, ,84.95,6,740,,,11410,연희동, 
20110108,"12,000",0,0,성원,1998,, ,41.5,14,456,,,11410,홍제동, 
20110108,"26,000",0,0,홍은동벽산,1997,, ,142.98,13,455,,,11410,홍은동, 
20110108,"3,500",27,0,안산맨숀,1972,, ,72.73,4,104-20,,,11410,홍제동, 
20110108,"22,000",0,0,홍제한양,1993,, ,84.77,7,82,,,11410,홍제동, 
20110108,"20,000",0,0,광남캐스빌1(512-4),2000,, ,70.45,4,512-4,,,11410,창천동, 
20110108,"16,500",0,0,홍제한양,1993,11.03~13.03,신규,60.06,10,82,,,11410,홍제동, 
20110108,"20,000",0,0,동부센트레빌,2002,, ,59.86,5,260,,,11410,냉천동, 
20110108,"11,500",0,0,DMC한양,1987,, ,65.34,13,431,,,11410,북가좌동, 
20110108,"10,000",30,0,문화촌현대,2002,, ,59.94,5,463,,,11410,홍제동, 
20110109,"5,000",100,0,문화촌현대,2002,, ,84.99,5,463,,,11410,홍제동, 
20110109,"15,000",0,0,월드컵현대,1998,, ,59.76,13,371-1,,,11410,북가좌동, 
20110109,"3,000",100,0,천연뜨란채,2006,, ,56.02,4,145,,,11410,천연동, 
20110110,"22,000",0,0,대림,1993,, ,84.74,7,700,,,11410,연희동, 
20110110,"21,000",0,0,DMC아이파크,2009,, ,84.93,1,458,,,11410,북가좌동, 
20110110,"20,000",0,0,두산,1999,, ,59.96,6,1009,,,11410,북아현동, 
20110110,"22,000",0,0,홍제한양,1993,, ,84.77,8,82,,,11410,홍제동, 
20110110,"13,000",0,0,청솔하이츠2동,2004,, ,63.54,6,304-52,,,11410,북가좌동, 
20110110,"11,000",0,0,풍림1차,1988,, ,64.53,1,440-3,,,11410,홍은동, 
20110110,"18,500",0,0,청구3차,2001,, ,59.4,8,462,,,11410,홍제동, 
20110110,"7,000",100,0,북아현3차,2002,, ,84.24,5,189-22,,,11410,북아현동, 
20110110,"16,000",0,0,남가좌동현대,1999,, ,59.4,6,376,,,11410,남가좌동, 
20110110,"15,500",0,0,남가좌동현대,1999,, ,59.4,3,376,,,11410,남가좌동, 
20110110,"23,500",0,0,홍제원현대(459-0),2000,, ,84.9,14,459,,,11410,홍제동, 
20110110,"22,000",0,0,DMC아이파크,2009,11.02~13.02,신규,84.92,2,458,,,11410,북가좌동, 
20110110,"13,000",0,0,풍림아트빌(277-43),2001,, ,76.41,1,277-43,,,11410,홍은동, 
20110110,"15,000",10,0,두산,1999,, ,59.96,13,1009,,,11410,북아현동, 
20110110,"25,000",0,0,남가좌동현대,1999,, ,114.9,6,376,,,11410,남가좌동, 
20110110,"25,000",0,0,홍은동풍림아이원,2002,, ,116.101,20,460,,,11410,홍은동, 
20110110,"30,000",0,0,인왕산한신휴플러스,2009,, ,125.256,4,469,,,11410,홍제동, 
20110110,"20,000",0,0,신일해피트리,2005,, ,84.98,1,455,,,11410,북가좌동, 
20110110,"27,000",0,0,천연뜨란채,2006,, ,75.55,4,145,,,11410,천연동, 
20110110,"3,000",50,0,세라,2002,, ,84.8,2,3-74,,,11410,북가좌동, 
20110110,"14,000",0,0,유원하나,1996,, ,82.35,15,454,,,11410,홍제동, 
20110110,"24,000",0,0,에스케이뷰,2008,, ,59.956,4,118,,,11410,합동, 
