dealDate,deposit,monthlyRent,calcedRent,buildYear,contractTerm,contractType,excluUseAr,floor,jibun,offiNm,preDeposit,preMonthlyRent,sggCd,sggNm,umdNm,useRRRight
20110219,"12,500",0,0,2006,, ,29.26,3,117,충정로대우디오빌,,,11410,서대문구,합동, 
20110220,"2,000",50,0,2005,, ,19.01,2,103-7,스페이스엠,,,11410,서대문구,연희동, 
20110221,"3,000",40,0,2004,, ,19.38,2,97-64,경선파인 오피스텔,,,11410,서대문구,창천동, 
20110221,"3,000",30,0,2004,, ,24.84,9,343-1,선정오피스텔,,,11410,서대문구,북가좌동, 
20110221,"2,000",30,0,2003,, ,21.42,6,396-25,동림오벨리스크,,,11410,서대문구,홍은동, 
20110222,"9,000",0,0,2003,, ,26.03,5,136-7,(136-7),,,11410,서대문구,연희동, 
20110222,"1,000",50,0,2001,, ,16.2,9,212-2,연희소프트빌,,,11410,서대문구,연희동, 
20110224,"3,000",35,0,2002,11.02~12.02,신규,20.39,5,121-4,오벨리스크,,,11410,서대문구,연희동, 
20110224,"3,000",30,0,2004,, ,19.25,3,78-4,시아 루비움,,,11410,서대문구,연희동, 
20110224,"8,000",0,0,2003,, ,26.03,4,136-7,(136-7),,,11410,서대문구,연희동, 
20110225,"6,000",27,0,2006,, ,19.4,8,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20110225,"8,000",0,0,2003,, ,26.03,4,136-7,(136-7),,,11410,서대문구,연희동, 
20110225,"11,000",0,0,2004,, ,30.24,13,20-41,아남오피스텔,,,11410,서대문구,창천동, 
20110226,"5,800",0,0,2004,, ,19.25,4,78-4,시아 루비움,,,11410,서대문구,연희동, 
20110228,500,45,0,2003,, ,21.45,5,396-24,현상준건물,,,11410,서대문구,홍은동, 
20110301,"7,000",18,0,2006,, ,19.4,6,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20110303,"5,000",50,0,2009,11.03~12.03,신규,28.82,6,192,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
20110307,"11,000",0,0,2004,, ,30.24,9,20-41,아남오피스텔,,,11410,서대문구,창천동, 
20110308,"1,000",125,0,2006,, ,59.02,4,117,충정로대우디오빌,,,11410,서대문구,합동, 
20110309,"1,000",30,0,2003,, ,15.84,2,446-270,(446-270),,,11410,서대문구,연희동, 
20110309,"8,000",18,0,2006,, ,22.61,3,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20110315,"6,000",0,0,2003,, ,25.53,4,88-11,정연지오빌ll,,,11410,서대문구,연희동, 
20110316,"8,000",10,0,2007,, ,28.79,6,194-30,브라운스톤 연희,,,11410,서대문구,연희동, 
20110318,"2,000",60,0,2006,, ,29.26,9,117,충정로대우디오빌,,,11410,서대문구,합동, 
20110318,"8,000",0,0,2004,, ,29.23,4,465,충정리시온,,,11410,서대문구,충정로3가, 
20110319,"6,000",25,0,2006,, ,19.4,9,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20110319,"20,000",0,0,2007,, ,89.73,2,340-27,현대싱그런,,,11410,서대문구,연희동, 
20110319,"22,000",0,0,2007,, ,115.53,6,340-27,현대싱그런,,,11410,서대문구,연희동, 
