,dealDate,deposit,monthlyRent,ChangeRate,calcedRent,excluUseAr,RPA,aptNm,buildYear,contractTerm,contractType,floor,jibun,preDeposit,preMonthlyRent,sggCd,umdNm,useRRRight
438,20110214,28500.0,0.0,7.2,171.0,114.94,1.49,DMC아이파크,2009,, ,6.0,458,,,11410,북가좌동, 
439,20110214,15000.0,0.0,7.2,90.0,84.21,1.07,DMC휴먼빌아파트,2008,, ,2.0,456,,,11410,북가좌동, 
440,20110214,4000.0,100.0,7.2,124.0,83.38,1.49,신촌럭키,1999,, ,14.0,144,,,11410,대현동, 
441,20110214,17000.0,0.0,7.2,102.0,60.06,1.7,홍제한양,1993,, ,6.0,82,,,11410,홍제동, 
442,20110214,15500.0,30.0,7.2,123.0,78.02,1.58,진흥,2002,11.02~12.10,신규,5.0,459,,,11410,홍은동, 
443,20110214,21000.0,0.0,7.2,126.0,84.96,1.48,반석블레스,2013,, ,3.0,440-1,,,11410,홍은동, 
444,20110214,23000.0,0.0,7.2,138.0,84.96,1.62,반석블레스,2013,, ,5.0,440-1,,,11410,홍은동, 
445,20110214,19000.0,0.0,7.2,114.0,84.84,1.34,두산,1997,, ,6.0,456,,,11410,홍은동, 
446,20110214,18500.0,0.0,7.2,111.0,59.96,1.85,두산,1999,, ,7.0,1009,,,11410,북아현동, 
447,20110214,17500.0,0.0,7.2,105.0,59.59,1.76,DMC래미안클라시스,2000,, ,10.0,377,,,11410,남가좌동, 
448,20110214,5000.0,90.0,7.2,120.0,59.93,2.0,인왕산현대,2000,, ,12.0,460,,,11410,홍제동, 
449,20110214,17500.0,0.0,7.2,105.0,75.75,1.39,북가좌삼호,1996,, ,15.0,449,,,11410,북가좌동, 
